Unix Timestamp,Average eye position (pixels),Average pupil dilation
1722787039.024077,"(276.0, 273.0)",2.8487625122070312
1722787039.0406754,"(273.0, 274.0)",2.8482131958007812
1722787039.0581932,"(272.0, 272.0)",2.850189208984375
1722787039.0737965,"(273.0, 273.0)",2.8489456176757812
1722787039.0915306,"(274.0, 273.0)",2.8502273559570312
1722787039.108052,"(273.0, 272.0)",2.848907470703125
1722787039.1245046,"(274.0, 272.0)",2.8500213623046875
1722787039.1407723,"(274.0, 274.0)",2.8478164672851562
1722787039.1573572,"(275.0, 275.0)",2.8468780517578125
1722787039.1744356,"(274.0, 273.0)",2.8395767211914062
1722787039.1911333,"(276.0, 269.0)",2.8413772583007812
1722787039.2079537,"(273.0, 270.0)",2.8367538452148438
1722787039.2240932,"(269.0, 269.0)",2.8393325805664062
1722787039.240823,"(272.0, 267.0)",2.837249755859375
1722787039.2571812,"(273.0, 267.0)",2.837615966796875
1722787039.2740843,"(272.0, 268.0)",2.823699951171875
1722787039.2912378,"(266.0, 269.0)",2.8247299194335938
1722787039.3067467,"(206.0, 266.0)",2.811737060546875
1722787039.324333,"(196.0, 261.0)",2.8132705688476562
1722787039.3410327,"(195.0, 262.0)",2.8131027221679688
1722787039.3575618,"(195.0, 265.0)",2.8078155517578125
1722787039.3741758,"(194.0, 267.0)",2.8071060180664062
1722787039.3934715,"(193.0, 265.0)",2.8103866577148438
1722787039.407043,"(193.0, 260.0)",2.8164215087890625
1722787039.4235513,"(192.0, 257.0)",2.816436767578125
1722787039.4405954,"(190.0, 258.0)",2.8160247802734375
1722787039.4566724,"(188.0, 258.0)",2.8236236572265625
1722787039.4737093,"(190.0, 255.0)",2.8291702270507812
1722787039.4899178,"(191.0, 253.0)",2.8324813842773438
1722787039.5068028,"(194.0, 252.0)",2.8310165405273438
1722787039.52418,"(195.0, 254.0)",2.8343353271484375
1722787039.5407364,"(193.0, 257.0)",2.832794189453125
1722787039.5572617,"(192.0, 254.0)",2.8397979736328125
1722787039.5739846,"(187.0, 250.0)",2.8444671630859375
1722787039.5905952,"(190.0, 251.0)",2.8481903076171875
1722787039.607709,"(190.0, 253.0)",2.8476028442382812
1722787039.6232855,"(191.0, 255.0)",2.850799560546875
1722787039.6405454,"(194.0, 251.0)",2.8579177856445312
1722787039.6577594,"(196.0, 256.0)",2.8630218505859375
1722787039.6738026,"(191.0, 259.0)",2.8653717041015625
1722787039.6899607,"(193.0, 251.0)",2.8700027465820312
1722787039.7073262,"(194.0, 251.0)",2.8675460815429688
1722787039.7239661,"(195.0, 255.0)",2.866943359375
1722787039.7407358,"(193.0, 260.0)",2.8659210205078125
1722787039.7572875,"(195.0, 259.0)",2.86651611328125
1722787039.7730157,"(194.0, 258.0)",2.8677444458007812
1722787039.7896988,"(194.0, 257.0)",2.8716964721679688
1722787039.8069563,"(192.0, 256.0)",2.8679428100585938
1722787039.8233993,"(191.0, 253.0)",2.8708648681640625
1722787039.83991,"(192.0, 252.0)",2.8681488037109375
1722787039.8565385,"(195.0, 254.0)",2.8665237426757812
1722787039.873745,"(192.0, 257.0)",2.8672103881835938
1722787039.8899267,"(191.0, 258.0)",2.8658676147460938
1722787039.9066617,"(193.0, 257.0)",2.8691940307617188
1722787039.9237466,"(194.0, 252.0)",2.8721847534179688
1722787039.9398165,"(194.0, 251.0)",2.87432861328125
1722787039.956111,"(190.0, 254.0)",2.878387451171875
1722787039.9725795,"(187.0, 254.0)",2.8750076293945312
1722787039.9900398,"(189.0, 252.0)",2.8734817504882812
1722787040.0059776,"(192.0, 252.0)",2.8772964477539062
1722787040.0233867,"(191.0, 254.0)",2.8834152221679688
1722787040.040152,"(190.0, 256.0)",2.8772735595703125
