Unix Timestamp: 1723819064.19963, Key.enter release
Unix Timestamp: 1723819224.3493378, a press
Unix Timestamp: 1723819224.445034, a release
Unix Timestamp: 1723819224.4610345, Key.space press
Unix Timestamp: 1723819224.5406284, Key.space release
Unix Timestamp: 1723819225.5005832, b press
Unix Timestamp: 1723819225.5646553, b release
Unix Timestamp: 1723819225.6599693, o press
Unix Timestamp: 1723819225.7406347, o release
Unix Timestamp: 1723819225.8206017, o press
Unix Timestamp: 1723819225.900706, o release
Unix Timestamp: 1723819225.9642797, k press
Unix Timestamp: 1723819226.0608428, k release
Unix Timestamp: 1723819226.061841, Key.space press
Unix Timestamp: 1723819226.1408165, Key.space release
Unix Timestamp: 1723819226.6679137, f press
Unix Timestamp: 1723819226.7158842, f release
Unix Timestamp: 1723819226.860821, a press
Unix Timestamp: 1723819226.9248405, a release
Unix Timestamp: 1723819226.972419, i press
Unix Timestamp: 1723819227.037506, i release
Unix Timestamp: 1723819227.100504, r press
Unix Timestamp: 1723819227.1647027, r release
Unix Timestamp: 1723819227.2125778, Key.space press
Unix Timestamp: 1723819227.2769995, Key.space release
Unix Timestamp: 1723819227.4210324, e press
Unix Timestamp: 1723819227.468432, e release
Unix Timestamp: 1723819227.8050203, v press
Unix Timestamp: 1723819227.8844879, v release
Unix Timestamp: 1723819227.9483194, e press
Unix Timestamp: 1723819228.0123572, e release
Unix Timestamp: 1723819228.0604873, n press
Unix Timestamp: 1723819228.12497, n release
Unix Timestamp: 1723819228.2047126, t press
Unix Timestamp: 1723819228.2687953, t release
Unix Timestamp: 1723819228.3164608, Key.space press
Unix Timestamp: 1723819228.4127598, Key.space release
Unix Timestamp: 1723819228.9397364, a press
Unix Timestamp: 1723819229.0047371, a release
Unix Timestamp: 1723819229.500023, Key.backspace press
Unix Timestamp: 1723819229.6442287, Key.backspace release
Unix Timestamp: 1723819231.0202377, a press
Unix Timestamp: 1723819231.0850098, a release
Unix Timestamp: 1723819231.1325474, n press
Unix Timestamp: 1723819231.1967895, n release
Unix Timestamp: 1723819231.228801, d press
Unix Timestamp: 1723819231.3089666, d release
Unix Timestamp: 1723819231.3247144, Key.space press
Unix Timestamp: 1723819231.4050782, Key.space release
Unix Timestamp: 1723819231.501437, a press
Unix Timestamp: 1723819231.5639796, a release
Unix Timestamp: 1723819231.5649798, Key.space press
Unix Timestamp: 1723819231.6450179, Key.space release
Unix Timestamp: 1723819231.8045433, g press
Unix Timestamp: 1723819231.8519332, g release
Unix Timestamp: 1723819232.4448113, u press
Unix Timestamp: 1723819232.5086381, u release
Unix Timestamp: 1723819232.6042368, i press
Unix Timestamp: 1723819232.6522956, i release
Unix Timestamp: 1723819232.7003436, d press
Unix Timestamp: 1723819232.7646441, d release
Unix Timestamp: 1723819232.8607483, e press
Unix Timestamp: 1723819232.9244, e release
