Unix Timestamp: 1724317694.7947984, Key.enter release
Unix Timestamp: 1724317821.6597445, i press
Unix Timestamp: 1724317821.7554426, i release
Unix Timestamp: 1724317821.9957967, n press
Unix Timestamp: 1724317822.0590587, n release
Unix Timestamp: 1724317822.4434454, v press
Unix Timestamp: 1724317822.5072887, v release
Unix Timestamp: 1724317822.555588, i press
Unix Timestamp: 1724317822.6665478, i release
Unix Timestamp: 1724317822.9397497, t press
Unix Timestamp: 1724317823.0025787, t release
Unix Timestamp: 1724317823.098834, a press
Unix Timestamp: 1724317823.210907, a release
Unix Timestamp: 1724317823.226281, t press
Unix Timestamp: 1724317823.291069, t release
Unix Timestamp: 1724317823.771453, i press
Unix Timestamp: 1724317823.8986886, o press
Unix Timestamp: 1724317823.9157228, i release
Unix Timestamp: 1724317824.0113966, o release
Unix Timestamp: 1724317824.107372, n press
Unix Timestamp: 1724317824.1873982, n release
Unix Timestamp: 1724317824.2830274, Key.space press
Unix Timestamp: 1724317824.3469384, Key.space release
Unix Timestamp: 1724317824.5072074, f press
Unix Timestamp: 1724317824.6192403, f release
Unix Timestamp: 1724317824.6352816, o press
Unix Timestamp: 1724317824.7148001, o release
Unix Timestamp: 1724317824.859722, r press
Unix Timestamp: 1724317824.9391837, r release
Unix Timestamp: 1724317824.9551785, Key.space press
Unix Timestamp: 1724317825.0355148, Key.space release
Unix Timestamp: 1724317825.242744, t press
Unix Timestamp: 1724317825.307085, t release
Unix Timestamp: 1724317825.419105, h press
Unix Timestamp: 1724317825.5153174, h release
Unix Timestamp: 1724317825.5789826, e press
Unix Timestamp: 1724317825.6592786, e release
Unix Timestamp: 1724317825.7070134, Key.space press
Unix Timestamp: 1724317825.7715251, Key.space release
Unix Timestamp: 1724317827.00266, s press
Unix Timestamp: 1724317827.1313083, s release
Unix Timestamp: 1724317827.227094, h press
Unix Timestamp: 1724317827.307724, h release
Unix Timestamp: 1724317827.3713434, a press
Unix Timestamp: 1724317827.515008, a release
Unix Timestamp: 1724317828.0907404, k press
Unix Timestamp: 1724317828.1712675, k release
Unix Timestamp: 1724317828.3465726, e press
Unix Timestamp: 1724317828.3790581, e release
Unix Timestamp: 1724317828.491222, e press
Unix Timestamp: 1724317828.5228, e release
Unix Timestamp: 1724317829.819215, Key.backspace press
Unix Timestamp: 1724317829.8989532, Key.backspace release
Unix Timestamp: 1724317830.4910915, s press
Unix Timestamp: 1724317830.6025543, s release
Unix Timestamp: 1724317830.619586, p press
Unix Timestamp: 1724317830.6995287, p release
Unix Timestamp: 1724317831.387294, r press
Unix Timestamp: 1724317831.4671144, r release
