Unix Timestamp: 1724311040.5714998, Key.enter release
Unix Timestamp: 1724311174.4758644, Key.shift_r press
Unix Timestamp: 1724311174.6034322, W press
Unix Timestamp: 1724311174.651441, Key.shift_r release
Unix Timestamp: 1724311174.6832151, w release
Unix Timestamp: 1724311174.9551103, o press
Unix Timestamp: 1724311175.0516546, o release
Unix Timestamp: 1724311175.2118754, l press
Unix Timestamp: 1724311175.3071702, l release
Unix Timestamp: 1724311175.4679954, f press
Unix Timestamp: 1724311175.5479872, f release
Unix Timestamp: 1724311175.6275718, a press
Unix Timestamp: 1724311175.7716115, a release
Unix Timestamp: 1724311176.2035992, n press
Unix Timestamp: 1724311176.2841349, n release
Unix Timestamp: 1724311176.3959212, g press
Unix Timestamp: 1724311176.459927, g release
Unix Timestamp: 1724311176.6196525, Key.space press
Unix Timestamp: 1724311176.7798734, Key.space release
Unix Timestamp: 1724311176.8603537, i press
Unix Timestamp: 1724311176.9873226, i release
Unix Timestamp: 1724311177.0679998, s press
Unix Timestamp: 1724311177.1642587, s release
Unix Timestamp: 1724311177.2279003, Key.space press
Unix Timestamp: 1724311177.3876352, Key.space release
Unix Timestamp: 1724311178.0764096, l press
Unix Timestamp: 1724311178.1555648, l release
Unix Timestamp: 1724311178.2837672, o press
Unix Timestamp: 1724311178.3639264, o release
Unix Timestamp: 1724311178.4758742, o press
Unix Timestamp: 1724311178.5876927, o release
Unix Timestamp: 1724311178.7471817, k press
Unix Timestamp: 1724311178.8114445, k release
Unix Timestamp: 1724311179.115888, i press
Unix Timestamp: 1724311179.2121575, i release
Unix Timestamp: 1724311179.356037, n press
Unix Timestamp: 1724311179.4832318, n release
Unix Timestamp: 1724311179.5961394, g press
Unix Timestamp: 1724311179.6915207, g release
Unix Timestamp: 1724311179.6921196, Key.space press
Unix Timestamp: 1724311179.8198857, Key.space release
Unix Timestamp: 1724311179.947739, f press
Unix Timestamp: 1724311180.0597115, f release
Unix Timestamp: 1724311180.507203, o press
Unix Timestamp: 1724311180.6192997, r press
Unix Timestamp: 1724311180.6363022, o release
Unix Timestamp: 1724311180.6996682, r release
Unix Timestamp: 1724311180.7316532, Key.space press
Unix Timestamp: 1724311180.8754892, Key.space release
Unix Timestamp: 1724311181.372077, p press
Unix Timestamp: 1724311181.4678478, p release
Unix Timestamp: 1724311181.50005, a press
Unix Timestamp: 1724311181.6599352, a release
Unix Timestamp: 1724311181.6606114, r press
Unix Timestamp: 1724311181.7400968, r release
Unix Timestamp: 1724311182.4117215, t press
Unix Timestamp: 1724311182.491912, t release
Unix Timestamp: 1724311182.58725, i press
Unix Timestamp: 1724311182.7000656, i release
Unix Timestamp: 1724311182.907147, c press
Unix Timestamp: 1724311183.004184, c release
Unix Timestamp: 1724311183.0835671, i press
Unix Timestamp: 1724311183.1801908, i release
Unix Timestamp: 1724311183.7554963, p press
Unix Timestamp: 1724311183.85207, p release
Unix Timestamp: 1724311183.883931, a press
Unix Timestamp: 1724311183.9963474, a release
Unix Timestamp: 1724311184.1401358, n press
Unix Timestamp: 1724311184.2519689, n release
Unix Timestamp: 1724311184.3321183, t press
Unix Timestamp: 1724311184.4120295, t release
Unix Timestamp: 1724311184.5722675, s press
Unix Timestamp: 1724311184.7001038, s release
Unix Timestamp: 1724311184.8116126, Key.space press
Unix Timestamp: 1724311184.9715693, Key.space release
Unix Timestamp: 1724311185.5637426, f press
Unix Timestamp: 1724311185.659667, f release
Unix Timestamp: 1724311187.3560236, o press
Unix Timestamp: 1724311187.4996998, o release
Unix Timestamp: 1724311187.7079582, r press
