Unix Timestamp: 1724258813.5200481, Key.enter release
Unix Timestamp: 1724258942.7643316, Key.caps_lock press
Unix Timestamp: 1724258942.8279753, Key.caps_lock release
Unix Timestamp: 1724258942.908819, t press
Unix Timestamp: 1724258942.987701, t release
Unix Timestamp: 1724258943.0360591, Key.caps_lock press
Unix Timestamp: 1724258943.1164634, Key.caps_lock release
Unix Timestamp: 1724258943.1814215, h press
Unix Timestamp: 1724258943.2445421, h release
Unix Timestamp: 1724258943.3560905, e press
Unix Timestamp: 1724258943.4199154, e release
Unix Timestamp: 1724258943.4843302, Key.space press
Unix Timestamp: 1724258943.5319197, Key.space release
Unix Timestamp: 1724258943.8039837, l press
Unix Timestamp: 1724258943.852594, l release
Unix Timestamp: 1724258944.283767, y press
Unix Timestamp: 1724258944.332273, y release
Unix Timestamp: 1724258944.812201, r press
Unix Timestamp: 1724258944.8763433, r release
Unix Timestamp: 1724258944.9402194, i press
Unix Timestamp: 1724258945.0045006, i release
Unix Timestamp: 1724258945.1324246, k press
Unix Timestamp: 1724258945.1960614, k release
Unix Timestamp: 1724258945.996378, Key.space press
Unix Timestamp: 1724258946.0286517, Key.space release
Unix Timestamp: 1724258946.5560064, l press
Unix Timestamp: 1724258946.6203759, l release
Unix Timestamp: 1724258946.7802498, i press
Unix Timestamp: 1724258946.828015, i release
Unix Timestamp: 1724258946.9730604, b press
Unix Timestamp: 1724258947.0362303, b release
Unix Timestamp: 1724258947.2607527, r press
Unix Timestamp: 1724258947.3083787, r release
Unix Timestamp: 1724258947.4042084, a press
Unix Timestamp: 1724258947.452731, a release
Unix Timestamp: 1724258947.8523736, r press
Unix Timestamp: 1724258947.916468, r release
Unix Timestamp: 1724258948.2207582, y press
Unix Timestamp: 1724258948.2837656, y release
Unix Timestamp: 1724258948.5401506, Key.space press
Unix Timestamp: 1724258948.5881565, Key.space release
Unix Timestamp: 1724258948.6358294, a press
Unix Timestamp: 1724258948.716366, a release
Unix Timestamp: 1724258948.7797315, n press
Unix Timestamp: 1724258948.8280098, n release
Unix Timestamp: 1724258948.8924236, d press
Unix Timestamp: 1724258948.9569137, d release
Unix Timestamp: 1724258950.2840989, t press
Unix Timestamp: 1724258950.3643134, h press
Unix Timestamp: 1724258950.380327, t release
Unix Timestamp: 1724258950.4438398, h release
Unix Timestamp: 1724258950.5717738, e press
Unix Timestamp: 1724258950.6362917, e release
Unix Timestamp: 1724258951.2282996, Key.backspace press
Unix Timestamp: 1724258951.2758398, Key.backspace release
Unix Timestamp: 1724258951.4037614, Key.backspace press
Unix Timestamp: 1724258951.4684906, Key.backspace release
Unix Timestamp: 1724258951.5967946, Key.backspace press
Unix Timestamp: 1724258951.6437001, Key.backspace release
Unix Timestamp: 1724258952.0444624, Key.space press
Unix Timestamp: 1724258952.0914614, Key.space release
Unix Timestamp: 1724258952.268438, t press
Unix Timestamp: 1724258952.3482704, t release
Unix Timestamp: 1724258952.3969924, h press
Unix Timestamp: 1724258952.476428, h release
Unix Timestamp: 1724258952.5247173, e press
Unix Timestamp: 1724258952.6205082, e release
Unix Timestamp: 1724258952.7003305, Key.space press
Unix Timestamp: 1724258952.7317867, Key.space release
Unix Timestamp: 1724258952.9729104, s press
Unix Timestamp: 1724258953.003908, s release
Unix Timestamp: 1724258953.132556, h press
Unix Timestamp: 1724258953.179946, h release
Unix Timestamp: 1724258953.5808613, k press
Unix Timestamp: 1724258953.6278675, k release
Unix Timestamp: 1724258953.7562013, e press
Unix Timestamp: 1724258953.820367, e release
Unix Timestamp: 1724258953.996637, s press
Unix Timestamp: 1724258954.091871, s release
Unix Timestamp: 1724258954.5402868, p press
Unix Timestamp: 1724258954.588163, p release
Unix Timestamp: 1724258954.6998632, e press
Unix Timestamp: 1724258954.7804654, e release
Unix Timestamp: 1724258954.9236088, r press
Unix Timestamp: 1724258954.972699, r release
Unix Timestamp: 1724258955.3560858, Key.backspace press
Unix Timestamp: 1724258955.4203627, Key.backspace release
Unix Timestamp: 1724258955.499991, a press
Unix Timestamp: 1724258955.5955865, a release
Unix Timestamp: 1724258955.7882519, r press
Unix Timestamp: 1724258955.8368034, r release
Unix Timestamp: 1724258955.9640174, Key.space press
Unix Timestamp: 1724258956.0120132, Key.space release
Unix Timestamp: 1724258956.252356, r press
Unix Timestamp: 1724258956.3324106, r release
Unix Timestamp: 1724258956.4443126, e press
Unix Timestamp: 1724258956.5080574, e release
Unix Timestamp: 1724258956.6682582, s press
Unix Timestamp: 1724258956.7319477, s release
Unix Timestamp: 1724258956.860473, e press
Unix Timestamp: 1724258956.9405766, e release
Unix Timestamp: 1724258957.067822, a press
Unix Timestamp: 1724258957.1639454, a release
Unix Timestamp: 1724258957.8356311, r press
Unix Timestamp: 1724258957.916436, r release
Unix Timestamp: 1724258958.4288177, c press
Unix Timestamp: 1724258958.539714, c release
Unix Timestamp: 1724258958.603755, h press
Unix Timestamp: 1724258958.700338, h release
Unix Timestamp: 1724258960.1397762, Key.space press
Unix Timestamp: 1724258960.187777, Key.space release
Unix Timestamp: 1724258960.6039839, l press
Unix Timestamp: 1724258960.6363251, l release
Unix Timestamp: 1724258960.844186, i press
Unix Timestamp: 1724258960.9092312, i release
Unix Timestamp: 1724258961.0523756, b press
Unix Timestamp: 1724258961.0999296, b release
Unix Timestamp: 1724258961.308198, r press
Unix Timestamp: 1724258961.356342, r release
Unix Timestamp: 1724258961.4522345, a press
Unix Timestamp: 1724258961.5330815, a release
Unix Timestamp: 1724258961.5642867, r press
Unix Timestamp: 1724258961.612437, r release
Unix Timestamp: 1724258963.1007807, y press
Unix Timestamp: 1724258963.1635652, y release
Unix Timestamp: 1724258963.308816, Key.space press
Unix Timestamp: 1724258963.3554018, Key.space release
Unix Timestamp: 1724258966.9560723, a press
Unix Timestamp: 1724258967.0360768, a release
Unix Timestamp: 1724258968.876572, o press
Unix Timestamp: 1724258968.9398227, o release
Unix Timestamp: 1724258969.116228, r press
Unix Timestamp: 1724258969.1804457, r release
Unix Timestamp: 1724258969.308567, g press
Unix Timestamp: 1724258969.3727405, g release
Unix Timestamp: 1724258969.500344, a press
Unix Timestamp: 1724258969.5963197, a release
Unix Timestamp: 1724258969.6606655, n press
Unix Timestamp: 1724258969.7407262, n release
Unix Timestamp: 1724258969.7888267, i press
Unix Timestamp: 1724258969.9004445, i release
Unix Timestamp: 1724258970.012572, s press
Unix Timestamp: 1724258970.092091, s release
Unix Timestamp: 1724258970.188445, m press
Unix Timestamp: 1724258970.268547, m release
Unix Timestamp: 1724258970.716496, Key.space press
Unix Timestamp: 1724258970.765033, Key.space release
Unix Timestamp: 1724258970.8280737, a press
Unix Timestamp: 1724258970.891594, a release
Unix Timestamp: 1724258970.9880528, Key.space press
Unix Timestamp: 1724258971.0364635, Key.space release
Unix Timestamp: 1724258972.0765214, m press
Unix Timestamp: 1724258972.124562, m release
Unix Timestamp: 1724258972.2366784, e press
Unix Timestamp: 1724258972.316444, e release
Unix Timestamp: 1724258972.4441197, e press
Unix Timestamp: 1724258972.5399675, e release
Unix Timestamp: 1724258972.7493746, t press
Unix Timestamp: 1724258972.844175, t release
Unix Timestamp: 1724258973.4525824, Key.space press
Unix Timestamp: 1724258973.500223, Key.space release
Unix Timestamp: 1724258973.5968285, a press
Unix Timestamp: 1724258973.6603277, a release
Unix Timestamp: 1724258973.740292, t press
Unix Timestamp: 1724258973.820173, t release
Unix Timestamp: 1724258974.028704, Key.space press
Unix Timestamp: 1724258974.0757997, Key.space release
