Unix Timestamp: 1724326429.3692167, l press
Unix Timestamp: 1724326429.4171767, l release
Unix Timestamp: 1724326429.5452192, i press
Unix Timestamp: 1724326429.593034, i release
Unix Timestamp: 1724326429.8018796, t press
Unix Timestamp: 1724326429.8488836, t release
Unix Timestamp: 1724326429.9291952, e press
Unix Timestamp: 1724326430.0254357, r press
Unix Timestamp: 1724326430.089401, e release
Unix Timestamp: 1724326430.1845841, r release
Unix Timestamp: 1724326430.521254, a press
Unix Timestamp: 1724326430.6010356, t press
Unix Timestamp: 1724326430.6490552, a release
Unix Timestamp: 1724326430.6647792, t release
Unix Timestamp: 1724326431.0011659, u press
Unix Timestamp: 1724326431.06529, u release
Unix Timestamp: 1724326431.1933599, r press
Unix Timestamp: 1724326431.2250957, e press
Unix Timestamp: 1724326431.2732198, r release
Unix Timestamp: 1724326431.3850942, e release
Unix Timestamp: 1724326431.4170785, Key.space press
Unix Timestamp: 1724326431.4640558, Key.space release
Unix Timestamp: 1724326431.960924, f press
Unix Timestamp: 1724326432.056437, e press
Unix Timestamp: 1724326432.104998, f release
Unix Timestamp: 1724326432.168522, e release
Unix Timestamp: 1724326432.3130805, s press
Unix Timestamp: 1724326432.4087656, t press
Unix Timestamp: 1724326432.4571054, s release
Unix Timestamp: 1724326432.4732606, t release
Unix Timestamp: 1724326432.8087263, i press
Unix Timestamp: 1724326432.8732138, i release
Unix Timestamp: 1724326433.1446986, v press
Unix Timestamp: 1724326433.1932404, v release
Unix Timestamp: 1724326433.3210382, a press
Unix Timestamp: 1724326433.4492974, a release
Unix Timestamp: 1724326433.6090457, l press
Unix Timestamp: 1724326433.6571681, l release
Unix Timestamp: 1724326433.96113, . press
Unix Timestamp: 1724326434.0252898, . release
Unix Timestamp: 1724326434.5529783, Key.space press
Unix Timestamp: 1724326434.6001813, Key.space release
Unix Timestamp: 1724326435.337076, Key.shift press
Unix Timestamp: 1724326435.4333785, T press
Unix Timestamp: 1724326435.4975812, T release
Unix Timestamp: 1724326435.5130422, Key.shift release
Unix Timestamp: 1724326435.6250367, h press
Unix Timestamp: 1724326435.6725802, h release
Unix Timestamp: 1724326435.849064, e press
Unix Timestamp: 1724326435.9288394, Key.space press
Unix Timestamp: 1724326435.9607234, Key.space release
Unix Timestamp: 1724326435.96172, e release
Unix Timestamp: 1724326436.841243, e press
Unix Timestamp: 1724326436.9692416, e release
Unix Timestamp: 1724326437.0651698, / press
Unix Timestamp: 1724326437.0970874, / release
Unix Timestamp: 1724326437.3851829, m press
Unix Timestamp: 1724326437.4331794, m release
Unix Timestamp: 1724326437.5292332, a press
Unix Timestamp: 1724326437.6252446, i press
Unix Timestamp: 1724326437.672609, i release
Unix Timestamp: 1724326437.6736107, a release
Unix Timestamp: 1724326437.8332958, l press
Unix Timestamp: 1724326437.8815029, l release
Unix Timestamp: 1724326438.1373656, Key.space press
Unix Timestamp: 1724326438.1844902, Key.space release
Unix Timestamp: 1724326438.872442, Key.backspace press
Unix Timestamp: 1724326438.9052458, Key.backspace release
Unix Timestamp: 1724326439.016585, Key.backspace press
Unix Timestamp: 1724326439.08097, Key.backspace release
Unix Timestamp: 1724326439.1764936, Key.backspace press
Unix Timestamp: 1724326439.2414224, Key.backspace release
Unix Timestamp: 1724326439.3372283, Key.backspace press
Unix Timestamp: 1724326439.4011443, Key.backspace release
Unix Timestamp: 1724326439.9774776, Key.backspace press
Unix Timestamp: 1724326440.0253406, Key.backspace release
Unix Timestamp: 1724326440.1374, Key.backspace press
Unix Timestamp: 1724326440.20107, Key.backspace release
Unix Timestamp: 1724326441.081401, / press
Unix Timestamp: 1724326441.1284041, / release
Unix Timestamp: 1724326442.0732827, Key.backspace press
Unix Timestamp: 1724326442.1209817, Key.backspace release
Unix Timestamp: 1724326447.336814, Key.shift press
Unix Timestamp: 1724326447.52889, _ press
Unix Timestamp: 1724326447.6407943, _ release
Unix Timestamp: 1724326447.6724184, Key.shift release
Unix Timestamp: 1724326448.3446598, Key.backspace press
Unix Timestamp: 1724326448.4092512, Key.backspace release
Unix Timestamp: 1724326448.7290478, - press
Unix Timestamp: 1724326448.7605429, - release
Unix Timestamp: 1724326449.256502, Key.backspace press
Unix Timestamp: 1724326449.3366165, Key.backspace release
Unix Timestamp: 1724326450.1055748, - press
Unix Timestamp: 1724326450.1694715, - release
Unix Timestamp: 1724326450.4889758, m press
Unix Timestamp: 1724326450.5374942, m release
Unix Timestamp: 1724326450.6973593, a press
Unix Timestamp: 1724326450.7448878, i press
Unix Timestamp: 1724326450.7941155, i release
Unix Timestamp: 1724326450.8249004, a release
Unix Timestamp: 1724326450.9373603, l press
Unix Timestamp: 1724326451.0007796, l release
Unix Timestamp: 1724326451.161253, Key.space press
Unix Timestamp: 1724326451.1926973, Key.space release
Unix Timestamp: 1724326451.6898096, t press
Unix Timestamp: 1724326451.7844176, t release
Unix Timestamp: 1724326452.1209865, s press
Unix Timestamp: 1724326452.185219, l press
Unix Timestamp: 1724326452.2175312, s release
Unix Timestamp: 1724326452.2185352, l release
Unix Timestamp: 1724326453.3206131, Key.backspace press
Unix Timestamp: 1724326453.3686144, Key.backspace release
Unix Timestamp: 1724326453.5609784, a press
Unix Timestamp: 1724326453.7047567, a release
Unix Timestamp: 1724326454.152809, Key.backspace press
Unix Timestamp: 1724326454.2005246, Key.backspace release
Unix Timestamp: 1724326454.2803757, Key.backspace press
Unix Timestamp: 1724326454.3771918, Key.backspace release
Unix Timestamp: 1724326454.8092742, a press
Unix Timestamp: 1724326454.9052882, a release
Unix Timestamp: 1724326455.417169, l press
Unix Timestamp: 1724326455.481788, l release
Unix Timestamp: 1724326455.5931072, k press
Unix Timestamp: 1724326455.6573303, k release
Unix Timestamp: 1724326455.7368677, s press
Unix Timestamp: 1724326455.8652835, Key.space press
Unix Timestamp: 1724326455.8809478, s release
Unix Timestamp: 1724326455.8969011, Key.space release
Unix Timestamp: 1724326456.2972126, a press
Unix Timestamp: 1724326456.3284307, b press
Unix Timestamp: 1724326456.3934276, b release
Unix Timestamp: 1724326456.3944259, a release
Unix Timestamp: 1724326456.8408124, o press
Unix Timestamp: 1724326456.8886273, o release
Unix Timestamp: 1724326457.0655153, u press
Unix Timestamp: 1724326457.1288671, u release
Unix Timestamp: 1724326457.3211336, t press
Unix Timestamp: 1724326457.3681355, t release
Unix Timestamp: 1724326457.5770078, Key.space press
Unix Timestamp: 1724326457.608673, Key.space release
Unix Timestamp: 1724326458.9692876, t press
Unix Timestamp: 1724326459.048764, t release
Unix Timestamp: 1724326459.1772668, h press
Unix Timestamp: 1724326459.2250357, h release
Unix Timestamp: 1724326459.3528273, e press
Unix Timestamp: 1724326459.464986, e release
Unix Timestamp: 1724326459.4809842, Key.space press
Unix Timestamp: 1724326459.51301, Key.space release
