Unix Timestamp: 1724255726.7719464, Key.enter release
Unix Timestamp: 1724255936.1493945, t press
Unix Timestamp: 1724255936.2773354, t release
Unix Timestamp: 1724255937.2208512, Key.backspace press
Unix Timestamp: 1724255937.3014545, Key.backspace release
Unix Timestamp: 1724255938.389147, Key.shift press
Unix Timestamp: 1724255938.533151, T press
Unix Timestamp: 1724255938.6298034, Key.shift release
Unix Timestamp: 1724255938.6307995, t release
Unix Timestamp: 1724255938.7731354, h press
Unix Timestamp: 1724255938.8695958, h release
Unix Timestamp: 1724255939.030072, e press
Unix Timestamp: 1724255939.1579309, e release
Unix Timestamp: 1724255939.2059274, Key.space press
Unix Timestamp: 1724255939.3332765, Key.space release
Unix Timestamp: 1724255939.701694, e press
Unix Timestamp: 1724255939.7816947, e release
Unix Timestamp: 1724255940.004982, m press
Unix Timestamp: 1724255940.0540106, m release
Unix Timestamp: 1724255940.645626, Key.backspace press
Unix Timestamp: 1724255940.7092757, Key.backspace release
Unix Timestamp: 1724255940.83725, Key.backspace press
Unix Timestamp: 1724255940.901467, Key.backspace release
Unix Timestamp: 1724255941.3335788, m press
Unix Timestamp: 1724255941.4132864, m release
Unix Timestamp: 1724255941.5419767, a press
Unix Timestamp: 1724255941.685976, a release
Unix Timestamp: 1724255941.686976, i press
Unix Timestamp: 1724255941.7335315, i release
Unix Timestamp: 1724255941.861558, l press
Unix Timestamp: 1724255941.925402, l release
Unix Timestamp: 1724255942.1493495, Key.space press
Unix Timestamp: 1724255942.2133179, Key.space release
Unix Timestamp: 1724255942.437484, i press
Unix Timestamp: 1724255942.5179877, i release
Unix Timestamp: 1724255942.6450634, s press
Unix Timestamp: 1724255942.757027, s release
Unix Timestamp: 1724255942.7893372, Key.space press
Unix Timestamp: 1724255942.8853266, Key.space release
Unix Timestamp: 1724255943.0135784, a press
Unix Timestamp: 1724255943.1579204, a release
Unix Timestamp: 1724255943.2539198, n press
Unix Timestamp: 1724255943.317955, n release
Unix Timestamp: 1724255943.4293911, Key.space press
Unix Timestamp: 1724255943.5094323, Key.space release
Unix Timestamp: 1724255943.8132932, i press
Unix Timestamp: 1724255943.8619082, i release
Unix Timestamp: 1724255943.9739516, n press
Unix Timestamp: 1724255944.0540009, n release
Unix Timestamp: 1724255944.5983636, v press
Unix Timestamp: 1724255944.7103193, v release
Unix Timestamp: 1724255944.7263184, i press
Unix Timestamp: 1724255944.8063092, i release
Unix Timestamp: 1724255944.9824483, t press
Unix Timestamp: 1724255945.0464058, t release
Unix Timestamp: 1724255945.0944495, a press
Unix Timestamp: 1724255945.253077, a release
Unix Timestamp: 1724255945.2687528, t press
Unix Timestamp: 1724255945.3492837, t release
Unix Timestamp: 1724255945.6858997, i press
Unix Timestamp: 1724255945.7335563, i release
