Unix Timestamp: 1724076987.7359781, Key.enter release
Unix Timestamp: 1724077059.2272303, Key.caps_lock press
Unix Timestamp: 1724077059.291165, Key.caps_lock release
Unix Timestamp: 1724077059.3393424, t press
Unix Timestamp: 1724077059.403168, t release
Unix Timestamp: 1724077059.4191303, Key.caps_lock press
Unix Timestamp: 1724077059.5308504, Key.caps_lock release
Unix Timestamp: 1724077059.59493, h press
Unix Timestamp: 1724077059.6743236, h release
Unix Timestamp: 1724077059.786865, e press
Unix Timestamp: 1724077059.8838053, e release
Unix Timestamp: 1724077059.9468052, Key.space press
Unix Timestamp: 1724077060.0107868, Key.space release
Unix Timestamp: 1724077060.058798, e press
Unix Timestamp: 1724077060.1393135, e release
Unix Timestamp: 1724077060.154948, m press
Unix Timestamp: 1724077060.2194164, m release
Unix Timestamp: 1724077060.2991767, a press
Unix Timestamp: 1724077060.3790646, a release
Unix Timestamp: 1724077060.3800695, i press
Unix Timestamp: 1724077060.4431024, i release
Unix Timestamp: 1724077060.5237916, l press
Unix Timestamp: 1724077060.682882, l release
Unix Timestamp: 1724077060.6838796, Key.space press
Unix Timestamp: 1724077060.6988828, m press
Unix Timestamp: 1724077060.7308772, Key.space release
Unix Timestamp: 1724077060.7318778, m release
Unix Timestamp: 1724077060.8111784, i press
Unix Timestamp: 1724077060.8913972, i release
Unix Timestamp: 1724077060.9555235, s press
Unix Timestamp: 1724077061.0189166, s release
Unix Timestamp: 1724077061.0673072, Key.space press
Unix Timestamp: 1724077061.1311839, Key.space release
Unix Timestamp: 1724077061.2750018, a press
Unix Timestamp: 1724077061.4355998, a release
Unix Timestamp: 1724077061.8504438, s press
Unix Timestamp: 1724077061.9150226, s release
Unix Timestamp: 1724077061.9632435, k press
Unix Timestamp: 1724077062.0273154, k release
Unix Timestamp: 1724077062.1070738, i press
Unix Timestamp: 1724077062.186678, i release
Unix Timestamp: 1724077062.8906226, Key.backspace press
Unix Timestamp: 1724077062.939206, Key.backspace release
Unix Timestamp: 1724077063.0193198, Key.backspace press
Unix Timestamp: 1724077063.0673559, Key.backspace release
Unix Timestamp: 1724077063.1152227, Key.backspace press
Unix Timestamp: 1724077063.1633327, Key.backspace release
Unix Timestamp: 1724077063.226798, Key.backspace press
Unix Timestamp: 1724077063.2752187, Key.backspace release
Unix Timestamp: 1724077063.3384693, Key.backspace press
