Unix Timestamp: 1724253178.9868062, Key.enter release
Unix Timestamp: 1724253281.007948, Key.caps_lock press
Unix Timestamp: 1724253281.0559394, Key.caps_lock release
Unix Timestamp: 1724253281.2968657, i press
Unix Timestamp: 1724253281.327381, i release
Unix Timestamp: 1724253281.3910687, Key.caps_lock press
Unix Timestamp: 1724253281.4390926, Key.caps_lock release
Unix Timestamp: 1724253281.4879036, n press
Unix Timestamp: 1724253281.5359054, n release
Unix Timestamp: 1724253281.6319695, v press
Unix Timestamp: 1724253281.6959698, v release
Unix Timestamp: 1724253281.7431803, i press
Unix Timestamp: 1724253281.7753978, i release
Unix Timestamp: 1724253282.4951403, t press
Unix Timestamp: 1724253282.559214, t release
Unix Timestamp: 1724253282.719545, a press
Unix Timestamp: 1724253282.750976, a release
Unix Timestamp: 1724253282.927631, t press
Unix Timestamp: 1724253282.9913173, t release
Unix Timestamp: 1724253283.007319, i press
Unix Timestamp: 1724253283.0553188, i release
Unix Timestamp: 1724253283.1513212, o press
Unix Timestamp: 1724253283.1988988, o release
Unix Timestamp: 1724253283.3589354, n press
Unix Timestamp: 1724253283.4079208, n release
Unix Timestamp: 1724253283.6309786, Key.space press
Unix Timestamp: 1724253283.6788032, Key.space release
Unix Timestamp: 1724253283.8388777, f press
Unix Timestamp: 1724253283.9027874, f release
Unix Timestamp: 1724253284.159113, o press
Unix Timestamp: 1724253284.20744, o release
Unix Timestamp: 1724253284.2550313, r press
Unix Timestamp: 1724253284.3192384, r release
Unix Timestamp: 1724253284.321026, Key.space press
Unix Timestamp: 1724253284.3824644, Key.space release
Unix Timestamp: 1724253284.4952478, p press
Unix Timestamp: 1724253284.5600111, p release
Unix Timestamp: 1724253284.575218, a press
Unix Timestamp: 1724253284.623143, a release
Unix Timestamp: 1724253284.7671866, r press
Unix Timestamp: 1724253284.847491, r release
Unix Timestamp: 1724253285.1358914, t press
Unix Timestamp: 1724253285.1998708, t release
Unix Timestamp: 1724253285.2962377, i press
Unix Timestamp: 1724253285.3442285, i release
Unix Timestamp: 1724253285.4072154, c press
Unix Timestamp: 1724253285.472218, c release
Unix Timestamp: 1724253285.488217, i press
Unix Timestamp: 1724253285.5192194, i release
Unix Timestamp: 1724253285.6643693, p press
Unix Timestamp: 1724253285.7123635, p release
Unix Timestamp: 1724253285.7433567, a press
Unix Timestamp: 1724253285.7918298, a release
Unix Timestamp: 1724253285.9034972, n press
Unix Timestamp: 1724253285.9520597, n release
Unix Timestamp: 1724253285.968052, t press
Unix Timestamp: 1724253286.031262, t release
Unix Timestamp: 1724253286.2076542, s press
Unix Timestamp: 1724253286.2106647, a press
Unix Timestamp: 1724253286.226662, s release
Unix Timestamp: 1724253286.2286754, a release
Unix Timestamp: 1724253286.5752044, Key.backspace press
Unix Timestamp: 1724253286.639201, Key.backspace release
Unix Timestamp: 1724253286.783363, Key.space press
Unix Timestamp: 1724253286.847304, Key.space release
Unix Timestamp: 1724253286.8959188, f press
Unix Timestamp: 1724253286.943357, f release
Unix Timestamp: 1724253287.375351, Key.backspace press
Unix Timestamp: 1724253287.4553518, Key.backspace release
Unix Timestamp: 1724253287.6955154, t press
Unix Timestamp: 1724253287.7435143, t release
Unix Timestamp: 1724253287.7755501, o press
Unix Timestamp: 1724253287.823518, o release
Unix Timestamp: 1724253287.8715177, Key.space press
Unix Timestamp: 1724253287.918626, Key.space release
Unix Timestamp: 1724253287.9205809, t press
Unix Timestamp: 1724253287.9675891, t release
Unix Timestamp: 1724253288.1284919, a press
Unix Timestamp: 1724253288.1924467, a release
Unix Timestamp: 1724253288.2074978, k press
Unix Timestamp: 1724253288.255979, k release
Unix Timestamp: 1724253288.320179, e press
Unix Timestamp: 1724253288.368178, e release
Unix Timestamp: 1724253288.383197, Key.space press
Unix Timestamp: 1724253288.4473062, Key.space release
Unix Timestamp: 1724253288.5439365, p press
Unix Timestamp: 1724253288.5919342, p release
Unix Timestamp: 1724253288.7677252, Key.backspace press
Unix Timestamp: 1724253289.2792814, Key.backspace press
Unix Timestamp: 1724253289.3101637, Key.backspace press
Unix Timestamp: 1724253289.34065, Key.backspace press
Unix Timestamp: 1724253289.3721738, Key.backspace press
Unix Timestamp: 1724253289.4042182, Key.backspace press
Unix Timestamp: 1724253289.4350574, Key.backspace press
Unix Timestamp: 1724253289.4670491, Key.backspace press
Unix Timestamp: 1724253289.5134878, Key.backspace press
Unix Timestamp: 1724253289.543518, Key.backspace press
Unix Timestamp: 1724253289.5760438, Key.backspace press
Unix Timestamp: 1724253289.6064816, Key.backspace press
Unix Timestamp: 1724253289.639046, Key.backspace press
Unix Timestamp: 1724253289.669515, Key.backspace press
Unix Timestamp: 1724253289.7010436, Key.backspace press
Unix Timestamp: 1724253289.731646, Key.backspace press
Unix Timestamp: 1724253289.7626395, Key.backspace press
Unix Timestamp: 1724253289.8095016, Key.backspace press
Unix Timestamp: 1724253289.8412356, Key.backspace press
Unix Timestamp: 1724253289.8717637, Key.backspace release
Unix Timestamp: 1724253290.0151858, Key.backspace press
Unix Timestamp: 1724253290.0792203, Key.backspace release
Unix Timestamp: 1724253290.159162, Key.backspace press
Unix Timestamp: 1724253290.2067888, Key.backspace release
Unix Timestamp: 1724253290.287163, Key.backspace press
Unix Timestamp: 1724253290.3671596, Key.backspace release
Unix Timestamp: 1724253290.4152486, Key.backspace press
Unix Timestamp: 1724253290.4951873, Key.backspace release
Unix Timestamp: 1724253290.5907743, Key.backspace press
Unix Timestamp: 1724253290.6389673, Key.backspace release
Unix Timestamp: 1724253290.7197428, Key.backspace press
Unix Timestamp: 1724253290.7672994, Key.backspace release
Unix Timestamp: 1724253290.8471308, Key.backspace press
Unix Timestamp: 1724253290.9111333, Key.backspace release
Unix Timestamp: 1724253290.9756896, t press
Unix Timestamp: 1724253291.0386949, t release
Unix Timestamp: 1724253291.0716918, o press
Unix Timestamp: 1724253291.1356888, o release
Unix Timestamp: 1724253291.2151706, Key.space press
Unix Timestamp: 1724253291.2638223, Key.space release
Unix Timestamp: 1724253291.2648215, t press
Unix Timestamp: 1724253291.295834, t release
Unix Timestamp: 1724253291.43938, a press
Unix Timestamp: 1724253291.521386, a release
Unix Timestamp: 1724253291.523386, k press
Unix Timestamp: 1724253291.567615, k release
Unix Timestamp: 1724253291.647616, e press
Unix Timestamp: 1724253291.7116091, e release
Unix Timestamp: 1724253291.7126172, Key.space press
Unix Timestamp: 1724253291.7433863, Key.space release
Unix Timestamp: 1724253291.838403, p press
Unix Timestamp: 1724253291.9035819, p release
Unix Timestamp: 1724253291.9045813, a press
Unix Timestamp: 1724253291.9517536, a release
Unix Timestamp: 1724253292.079343, r press
Unix Timestamp: 1724253292.1433396, r release
Unix Timestamp: 1724253292.239958, t press
Unix Timestamp: 1724253292.302964, t release
Unix Timestamp: 1724253292.319209, Key.space press
Unix Timestamp: 1724253292.35103, Key.space release
Unix Timestamp: 1724253292.3995245, i press
Unix Timestamp: 1724253292.4475214, i release
Unix Timestamp: 1724253292.5753338, n press
Unix Timestamp: 1724253292.6225195, n release
Unix Timestamp: 1724253292.7025626, Key.space press
Unix Timestamp: 1724253292.7185225, Key.space release
Unix Timestamp: 1724253292.7678921, a press
Unix Timestamp: 1724253292.8305006, a release
Unix Timestamp: 1724253292.8788111, Key.space press
Unix Timestamp: 1724253292.9115562, Key.space release
Unix Timestamp: 1724253293.215208, s press
Unix Timestamp: 1724253293.263352, s release
Unix Timestamp: 1724253293.4555228, t press
Unix Timestamp: 1724253293.5189857, t release
Unix Timestamp: 1724253293.5995727, u press
Unix Timestamp: 1724253293.647048, u release
Unix Timestamp: 1724253293.6789083, d press
Unix Timestamp: 1724253293.743573, d release
Unix Timestamp: 1724253293.9034026, z press
Unix Timestamp: 1724253293.9669788, z release
Unix Timestamp: 1724253294.351328, Key.backspace press
Unix Timestamp: 1724253294.431349, Key.backspace release
