Unix Timestamp: 1723036294.806885, Key.enter release
Unix Timestamp: 1723036436.310587, Key.shift press
Unix Timestamp: 1723036436.8131547, Key.shift press
Unix Timestamp: 1723036436.8391538, E press
Unix Timestamp: 1723036436.9823937, E release
Unix Timestamp: 1723036437.0159054, Key.shift release
Unix Timestamp: 1723036437.846206, m press
Unix Timestamp: 1723036437.9264643, m release
Unix Timestamp: 1723036437.974484, a press
Unix Timestamp: 1723036438.0709982, a release
Unix Timestamp: 1723036438.1507316, i press
Unix Timestamp: 1723036438.215256, i release
Unix Timestamp: 1723036438.4070718, l press
Unix Timestamp: 1723036438.4710712, l release
Unix Timestamp: 1723036438.9667945, Key.space press
Unix Timestamp: 1723036439.0629997, Key.space release
Unix Timestamp: 1723036439.5598705, 1 press
Unix Timestamp: 1723036439.6070182, 1 release
Unix Timestamp: 1723036439.6549683, Key.space press
Unix Timestamp: 1723036439.7670617, Key.space release
Unix Timestamp: 1723036442.8229108, t press
Unix Timestamp: 1723036442.8865232, t release
Unix Timestamp: 1723036443.0470858, h press
Unix Timestamp: 1723036443.1267102, h release
Unix Timestamp: 1723036443.5280876, e press
Unix Timestamp: 1723036443.607661, e release
Unix Timestamp: 1723036443.9273913, Key.backspace press
Unix Timestamp: 1723036444.006981, Key.backspace release
Unix Timestamp: 1723036444.6308286, Key.backspace press
Unix Timestamp: 1723036444.6951551, Key.backspace release
Unix Timestamp: 1723036444.7913115, Key.backspace press
Unix Timestamp: 1723036444.8559706, Key.backspace release
Unix Timestamp: 1723036445.0310771, Key.shift press
Unix Timestamp: 1723036445.3509274, T press
Unix Timestamp: 1723036445.36697, Key.shift release
Unix Timestamp: 1723036445.3827438, t release
Unix Timestamp: 1723036445.5431485, h press
Unix Timestamp: 1723036445.6392431, h release
Unix Timestamp: 1723036445.7200658, e press
Unix Timestamp: 1723036445.815664, e release
Unix Timestamp: 1723036445.8176577, Key.space press
Unix Timestamp: 1723036445.895212, Key.space release
Unix Timestamp: 1723036446.0710645, w press
Unix Timestamp: 1723036446.119151, w release
Unix Timestamp: 1723036446.6143937, Key.backspace press
Unix Timestamp: 1723036446.7434223, Key.backspace release
Unix Timestamp: 1723036446.7454193, e press
Unix Timestamp: 1723036446.839152, e release
Unix Timestamp: 1723036447.1279354, m press
Unix Timestamp: 1723036447.20702, m release
Unix Timestamp: 1723036447.3523602, a press
Unix Timestamp: 1723036447.415537, i press
Unix Timestamp: 1723036447.447539, a release
Unix Timestamp: 1723036447.4795387, i release
Unix Timestamp: 1723036447.6390374, l press
Unix Timestamp: 1723036447.702911, l release
Unix Timestamp: 1723036447.8464148, Key.space press
Unix Timestamp: 1723036447.9112027, Key.space release
Unix Timestamp: 1723036448.0711288, i press
Unix Timestamp: 1723036448.1687882, i release
Unix Timestamp: 1723036448.2309043, s press
Unix Timestamp: 1723036448.2954662, s release
Unix Timestamp: 1723036448.3429832, Key.space press
Unix Timestamp: 1723036448.4070022, Key.space release
Unix Timestamp: 1723036448.6793694, f press
Unix Timestamp: 1723036448.7271812, o press
Unix Timestamp: 1723036448.7428916, f release
Unix Timestamp: 1723036448.85515, o release
Unix Timestamp: 1723036448.9204063, r press
Unix Timestamp: 1723036449.031755, r release
Unix Timestamp: 1723036449.0787928, Key.space press
Unix Timestamp: 1723036449.1438727, Key.space release
Unix Timestamp: 1723036449.9109464, t press
Unix Timestamp: 1723036449.975015, t release
Unix Timestamp: 1723036450.1676762, h press
Unix Timestamp: 1723036450.2467556, h release
Unix Timestamp: 1723036450.2947977, e press
Unix Timestamp: 1723036450.3906498, e release
Unix Timestamp: 1723036453.447177, Key.backspace press
Unix Timestamp: 1723036453.5750575, Key.backspace release
Unix Timestamp: 1723036453.670433, Key.backspace press
