Unix Timestamp: 1723044425.0013723, Key.enter release
Unix Timestamp: 1723044544.3165965, Key.shift press
Unix Timestamp: 1723044544.7964404, Key.shift release
Unix Timestamp: 1723044545.7893102, Key.shift press
Unix Timestamp: 1723044545.9808767, T press
Unix Timestamp: 1723044546.045002, Key.shift release
Unix Timestamp: 1723044546.0769925, t release
Unix Timestamp: 1723044546.0929935, h press
Unix Timestamp: 1723044546.1419942, h release
Unix Timestamp: 1723044547.069282, Key.backspace press
Unix Timestamp: 1723044547.1166272, Key.backspace release
Unix Timestamp: 1723044547.21299, Key.backspace press
Unix Timestamp: 1723044547.2928653, Key.backspace release
Unix Timestamp: 1723044548.0124712, Key.shift press
Unix Timestamp: 1723044548.4779105, A press
Unix Timestamp: 1723044548.556959, Key.shift release
Unix Timestamp: 1723044548.5599024, a release
Unix Timestamp: 1723044548.605543, n press
Unix Timestamp: 1723044548.6695492, n release
Unix Timestamp: 1723044548.748995, Key.space press
Unix Timestamp: 1723044548.8444974, Key.space release
Unix Timestamp: 1723044548.8464575, i press
Unix Timestamp: 1723044548.9419637, i release
Unix Timestamp: 1723044548.957486, n press
Unix Timestamp: 1723044549.0372574, n release
Unix Timestamp: 1723044549.6777027, v press
Unix Timestamp: 1723044549.74091, v release
Unix Timestamp: 1723044549.8210552, i press
Unix Timestamp: 1723044549.885046, i release
Unix Timestamp: 1723044549.9491117, t press
Unix Timestamp: 1723044550.0288763, t release
Unix Timestamp: 1723044550.237373, a press
Unix Timestamp: 1723044550.3492181, a release
Unix Timestamp: 1723044550.444975, t press
Unix Timestamp: 1723044550.4929702, t release
Unix Timestamp: 1723044550.5575218, i press
Unix Timestamp: 1723044550.621069, i release
Unix Timestamp: 1723044550.7176678, o press
Unix Timestamp: 1723044550.7976713, o release
Unix Timestamp: 1723044550.8772893, n press
Unix Timestamp: 1723044550.9580517, n release
Unix Timestamp: 1723044550.9590385, Key.space press
Unix Timestamp: 1723044551.1009657, t press
Unix Timestamp: 1723044551.1170988, Key.space release
Unix Timestamp: 1723044551.1649537, o press
Unix Timestamp: 1723044551.1809525, t release
Unix Timestamp: 1723044551.2769077, o release
Unix Timestamp: 1723044551.278595, Key.space press
Unix Timestamp: 1723044551.3891733, Key.space release
Unix Timestamp: 1723044551.4535446, p press
Unix Timestamp: 1723044551.549472, p release
Unix Timestamp: 1723044551.629473, a press
Unix Timestamp: 1723044551.7261863, a release
Unix Timestamp: 1723044551.9817502, r press
Unix Timestamp: 1723044551.9977212, t press
Unix Timestamp: 1723044552.0127068, r release
Unix Timestamp: 1723044552.1248207, t release
Unix Timestamp: 1723044552.7173836, i press
Unix Timestamp: 1723044552.796918, i release
Unix Timestamp: 1723044552.893652, c press
Unix Timestamp: 1723044552.9736521, c release
Unix Timestamp: 1723044552.9736521, i press
Unix Timestamp: 1723044553.0368528, i release
Unix Timestamp: 1723044553.1811068, p press
Unix Timestamp: 1723044553.2766414, p release
Unix Timestamp: 1723044553.3250413, a press
Unix Timestamp: 1723044553.3890445, a release
Unix Timestamp: 1723044553.468555, n press
Unix Timestamp: 1723044553.549999, n release
Unix Timestamp: 1723044553.6126893, t press
Unix Timestamp: 1723044553.661128, t release
Unix Timestamp: 1723044554.0767984, Key.backspace press
Unix Timestamp: 1723044554.1406887, Key.backspace release
Unix Timestamp: 1723044554.252463, Key.backspace press
Unix Timestamp: 1723044554.3006318, t press
Unix Timestamp: 1723044554.3164272, Key.backspace release
Unix Timestamp: 1723044554.4293914, t release
Unix Timestamp: 1723044554.5087473, e press
Unix Timestamp: 1723044554.6367872, e release
Unix Timestamp: 1723044554.6527886, Key.space press
Unix Timestamp: 1723044554.6687858, i press
Unix Timestamp: 1723044554.7010727, Key.space release
Unix Timestamp: 1723044554.8288677, i release
Unix Timestamp: 1723044554.8306332, n press
Unix Timestamp: 1723044554.9244664, n release
Unix Timestamp: 1723044554.9728103, Key.space press
Unix Timestamp: 1723044555.0530336, Key.space release
Unix Timestamp: 1723044555.1176882, o press
Unix Timestamp: 1723044555.2293038, o release
Unix Timestamp: 1723044555.5972457, Key.backspace press
Unix Timestamp: 1723044555.6455965, Key.backspace release
Unix Timestamp: 1723044555.694124, a press
Unix Timestamp: 1723044555.820906, a release
Unix Timestamp: 1723044555.8228085, n press
Unix Timestamp: 1723044555.900636, n release
Unix Timestamp: 1723044555.9166331, Key.space press
Unix Timestamp: 1723044555.9963233, Key.space release
Unix Timestamp: 1723044556.0460172, o press
Unix Timestamp: 1723044556.1731849, o release
Unix Timestamp: 1723044556.2531803, n press
Unix Timestamp: 1723044556.3168197, n release
Unix Timestamp: 1723044556.525139, l press
Unix Timestamp: 1723044556.5898523, l release
Unix Timestamp: 1723044556.7331765, i press
Unix Timestamp: 1723044556.84532, n press
Unix Timestamp: 1723044556.8623226, i release
Unix Timestamp: 1723044556.9246807, n release
Unix Timestamp: 1723044556.9728746, Key.space press
Unix Timestamp: 1723044556.9748137, e press
Unix Timestamp: 1723044557.0208135, e release
Unix Timestamp: 1723044557.1013741, Key.space release
Unix Timestamp: 1723044557.4691265, Key.backspace press
Unix Timestamp: 1723044557.5011103, Key.backspace release
Unix Timestamp: 1723044557.597049, Key.backspace press
Unix Timestamp: 1723044557.6768217, Key.backspace release
Unix Timestamp: 1723044557.6787176, e press
Unix Timestamp: 1723044557.756681, Key.space press
Unix Timestamp: 1723044557.7725906, e release
Unix Timestamp: 1723044557.8529608, Key.space release
Unix Timestamp: 1723044558.0130417, s press
Unix Timestamp: 1723044558.157254, s release
Unix Timestamp: 1723044558.3970542, u press
Unix Timestamp: 1723044558.4610484, u release
Unix Timestamp: 1723044558.573335, r press
Unix Timestamp: 1723044558.6368053, r release
Unix Timestamp: 1723044558.8126013, v press
Unix Timestamp: 1723044558.8928068, v release
Unix Timestamp: 1723044559.053461, e press
Unix Timestamp: 1723044559.1965187, e release
Unix Timestamp: 1723044561.9169528, y press
Unix Timestamp: 1723044561.98051, y release
Unix Timestamp: 1723044562.4126055, Key.space press
Unix Timestamp: 1723044562.5569167, Key.space release
Unix Timestamp: 1723044563.725019, Key.backspace press
Unix Timestamp: 1723044563.8538315, Key.backspace release
Unix Timestamp: 1723044564.0612733, , press
Unix Timestamp: 1723044564.0812716, , release
Unix Timestamp: 1723044564.285308, Key.backspace press
Unix Timestamp: 1723044564.396745, Key.backspace release
Unix Timestamp: 1723044564.4939098, . press
Unix Timestamp: 1723044564.5734048, . release
Unix Timestamp: 1723044564.6049738, Key.space press
Unix Timestamp: 1723044564.700898, Key.space release
Unix Timestamp: 1723044565.5974958, Key.shift press
Unix Timestamp: 1723044565.8531954, A press
Unix Timestamp: 1723044565.885194, Key.shift release
Unix Timestamp: 1723044565.9329412, a release
Unix Timestamp: 1723044566.0611906, n press
Unix Timestamp: 1723044566.1092043, n release
Unix Timestamp: 1723044566.1732118, d press
Unix Timestamp: 1723044566.2691636, d release
Unix Timestamp: 1723044566.3013926, Key.space press
Unix Timestamp: 1723044566.397291, Key.space release
Unix Timestamp: 1723044566.4928517, t press
Unix Timestamp: 1723044566.5094533, h press
Unix Timestamp: 1723044566.572813, t release
Unix Timestamp: 1723044566.5887132, h release
Unix Timestamp: 1723044566.7329, e press
Unix Timestamp: 1723044566.8288085, e release
Unix Timestamp: 1723044566.876804, n press
Unix Timestamp: 1723044566.988626, n release
Unix Timestamp: 1723044567.0042827, Key.space press
Unix Timestamp: 1723044567.1488035, Key.space release
Unix Timestamp: 1723044567.6447868, t press
Unix Timestamp: 1723044567.741994, t release
Unix Timestamp: 1723044567.7439513, h press
Unix Timestamp: 1723044567.8537858, h release
Unix Timestamp: 1723044567.9177744, e press
Unix Timestamp: 1723044568.0134394, e release
Unix Timestamp: 1723044568.0144558, r press
Unix Timestamp: 1723044568.1098537, r release
Unix Timestamp: 1723044568.1893642, e press
Unix Timestamp: 1723044568.2691717, e release
Unix Timestamp: 1723044568.7167604, Key.backspace press
Unix Timestamp: 1723044568.893307, Key.backspace release
Unix Timestamp: 1723044569.0050921, Key.backspace press
Unix Timestamp: 1723044569.0527654, Key.backspace release
Unix Timestamp: 1723044569.1487615, Key.backspace press
Unix Timestamp: 1723044569.2287567, Key.backspace release
Unix Timestamp: 1723044569.324807, Key.backspace press
Unix Timestamp: 1723044569.3570673, Key.backspace release
Unix Timestamp: 1723044569.4535403, Key.backspace press
Unix Timestamp: 1723044569.5008335, Key.backspace release
Unix Timestamp: 1723044569.6449776, a press
Unix Timestamp: 1723044569.725333, s press
Unix Timestamp: 1723044569.7728517, a release
Unix Timestamp: 1723044569.8538828, s release
Unix Timestamp: 1723044569.8848898, Key.space press
Unix Timestamp: 1723044569.997436, Key.space release
Unix Timestamp: 1723044569.9984345, a press
Unix Timestamp: 1723044570.1413097, a release
Unix Timestamp: 1723044570.1423087, Key.space press
Unix Timestamp: 1723044570.2687852, Key.space release
Unix Timestamp: 1723044570.685537, t press
Unix Timestamp: 1723044570.749667, t release
Unix Timestamp: 1723044570.7982707, h press
Unix Timestamp: 1723044570.8784258, h release
Unix Timestamp: 1723044570.956436, a press
Unix Timestamp: 1723044571.0525155, a release
Unix Timestamp: 1723044571.0541458, n press
Unix Timestamp: 1723044571.1327903, n release
Unix Timestamp: 1723044571.2134087, k press
Unix Timestamp: 1723044571.308903, k release
Unix Timestamp: 1723044571.3408654, Key.space press
Unix Timestamp: 1723044571.4524212, Key.space release
Unix Timestamp: 1723044572.316443, Key.backspace press
Unix Timestamp: 1723044572.3810995, Key.backspace release
Unix Timestamp: 1723044572.4935212, Key.backspace press
Unix Timestamp: 1723044572.5575373, Key.backspace release
Unix Timestamp: 1723044572.6533568, Key.backspace press
Unix Timestamp: 1723044572.7174134, Key.backspace release
Unix Timestamp: 1723044572.8121939, Key.backspace press
Unix Timestamp: 1723044572.8935354, Key.backspace release
Unix Timestamp: 1723044572.9891624, Key.backspace press
Unix Timestamp: 1723044573.0378222, Key.backspace release
Unix Timestamp: 1723044573.1493688, Key.backspace press
Unix Timestamp: 1723044573.1969461, Key.backspace release
Unix Timestamp: 1723044573.341482, r press
Unix Timestamp: 1723044573.4048786, e press
Unix Timestamp: 1723044573.43786, r release
Unix Timestamp: 1723044573.5015035, e release
Unix Timestamp: 1723044573.644747, q press
Unix Timestamp: 1723044573.7575097, q release
Unix Timestamp: 1723044574.15673, Key.backspace press
Unix Timestamp: 1723044574.252876, Key.backspace release
Unix Timestamp: 1723044574.3328562, w press
Unix Timestamp: 1723044574.3813343, w release
Unix Timestamp: 1723044574.5249772, a press
Unix Timestamp: 1723044574.6210606, a release
Unix Timestamp: 1723044574.7489665, r press
Unix Timestamp: 1723044574.796977, r release
Unix Timestamp: 1723044574.9576259, d press
Unix Timestamp: 1723044575.037124, d release
Unix Timestamp: 1723044575.101124, Key.space press
Unix Timestamp: 1723044575.1804073, Key.space release
Unix Timestamp: 1723044575.6288278, Key.shift press
Unix Timestamp: 1723044575.741279, I press
Unix Timestamp: 1723044575.7890103, Key.shift release
Unix Timestamp: 1723044575.82097, i release
Unix Timestamp: 1723044575.8369987, Key.space press
Unix Timestamp: 1723044575.949148, Key.space release
Unix Timestamp: 1723044575.9501705, w press
Unix Timestamp: 1723044576.0457857, w release
Unix Timestamp: 1723044576.0467753, i press
Unix Timestamp: 1723044576.109868, i release
Unix Timestamp: 1723044576.2371936, l press
Unix Timestamp: 1723044576.317318, l release
Unix Timestamp: 1723044576.3970401, l press
Unix Timestamp: 1723044576.445267, Key.space press
Unix Timestamp: 1723044576.4768453, l release
Unix Timestamp: 1723044576.5568504, Key.space release
Unix Timestamp: 1723044576.5587933, t press
Unix Timestamp: 1723044576.621293, t release
Unix Timestamp: 1723044576.765828, a press
Unix Timestamp: 1723044576.8930652, a release
Unix Timestamp: 1723044576.909437, k press
Unix Timestamp: 1723044577.0042834, k release
Unix Timestamp: 1723044577.020572, e press
Unix Timestamp: 1723044577.132744, e release
Unix Timestamp: 1723044577.1647975, Key.space press
Unix Timestamp: 1723044577.2449372, Key.space release
Unix Timestamp: 1723044577.3094478, a press
Unix Timestamp: 1723044577.404963, Key.space press
Unix Timestamp: 1723044577.4209602, a release
Unix Timestamp: 1723044577.516775, Key.space release
Unix Timestamp: 1723044577.5647585, p press
Unix Timestamp: 1723044577.6771677, p release
Unix Timestamp: 1723044577.678169, a press
Unix Timestamp: 1723044577.7569923, a release
Unix Timestamp: 1723044577.8853545, r press
Unix Timestamp: 1723044577.9977026, t press
Unix Timestamp: 1723044578.0297348, r release
Unix Timestamp: 1723044578.0457091, Key.space press
Unix Timestamp: 1723044578.0775092, t release
Unix Timestamp: 1723044578.1575148, Key.space release
Unix Timestamp: 1723044578.1735067, i press
Unix Timestamp: 1723044578.301592, i release
Unix Timestamp: 1723044578.3025928, Key.space press
Unix Timestamp: 1723044578.3655903, n press
Unix Timestamp: 1723044578.3805962, Key.space release
Unix Timestamp: 1723044578.4456441, n release
Unix Timestamp: 1723044578.796928, Key.backspace press
Unix Timestamp: 1723044578.8295052, Key.backspace release
Unix Timestamp: 1723044578.92453, Key.backspace press
Unix Timestamp: 1723044578.9887254, Key.backspace release
Unix Timestamp: 1723044579.1331055, n press
Unix Timestamp: 1723044579.1806166, Key.space press
Unix Timestamp: 1723044579.1962252, n release
Unix Timestamp: 1723044579.308931, Key.space release
Unix Timestamp: 1723044579.310931, a press
Unix Timestamp: 1723044579.4229317, a release
Unix Timestamp: 1723044579.4849224, r press
Unix Timestamp: 1723044579.5490167, r release
Unix Timestamp: 1723044579.8367524, Key.backspace press
Unix Timestamp: 1723044579.916964, Key.backspace release
Unix Timestamp: 1723044580.0284746, Key.space press
Unix Timestamp: 1723044580.1094413, r press
Unix Timestamp: 1723044580.1245797, Key.space release
Unix Timestamp: 1723044580.221618, r release
Unix Timestamp: 1723044580.3652594, a press
Unix Timestamp: 1723044580.445835, a release
Unix Timestamp: 1723044580.5413804, f press
Unix Timestamp: 1723044580.6053817, f release
Unix Timestamp: 1723044580.7003202, f press
Unix Timestamp: 1723044580.797883, f release
Unix Timestamp: 1723044580.988993, l press
Unix Timestamp: 1723044581.0847278, l release
Unix Timestamp: 1723044581.1171606, e press
Unix Timestamp: 1723044581.2450914, e release
Unix Timestamp: 1723044581.2461324, Key.space press
Unix Timestamp: 1723044581.3405972, Key.space release
Unix Timestamp: 1723044581.4534261, f press
Unix Timestamp: 1723044581.5180552, f release
Unix Timestamp: 1723044581.5491867, o press
Unix Timestamp: 1723044581.64519, o release
Unix Timestamp: 1723044581.6608312, r press
Unix Timestamp: 1723044581.708795, r release
Unix Timestamp: 1723044581.7107565, Key.space press
Unix Timestamp: 1723044581.7886744, Key.space release
Unix Timestamp: 1723044581.9169047, a press
Unix Timestamp: 1723044582.029357, a release
Unix Timestamp: 1723044582.030402, Key.space press
Unix Timestamp: 1723044582.1408756, Key.space release
Unix Timestamp: 1723044582.1564155, c press
Unix Timestamp: 1723044582.2214262, c release
Unix Timestamp: 1723044582.2364259, h press
Unix Timestamp: 1723044582.317137, h release
Unix Timestamp: 1723044582.3807569, a press
Unix Timestamp: 1723044582.4452841, n press
Unix Timestamp: 1723044582.4772363, a release
Unix Timestamp: 1723044582.5248728, n release
Unix Timestamp: 1723044582.6211498, c press
Unix Timestamp: 1723044582.7009175, c release
Unix Timestamp: 1723044582.748879, e press
Unix Timestamp: 1723044582.8289356, Key.space press
Unix Timestamp: 1723044582.844932, e release
Unix Timestamp: 1723044582.956594, Key.space release
Unix Timestamp: 1723044582.9582348, t press
Unix Timestamp: 1723044583.069118, t release
Unix Timestamp: 1723044583.0701213, o press
Unix Timestamp: 1723044583.1328022, o release
Unix Timestamp: 1723044583.133762, Key.space press
Unix Timestamp: 1723044583.2282076, Key.space release
Unix Timestamp: 1723044583.3408256, w press
Unix Timestamp: 1723044583.404709, w release
Unix Timestamp: 1723044583.4063761, i press
Unix Timestamp: 1723044583.5172422, i release
Unix Timestamp: 1723044583.5337043, n press
Unix Timestamp: 1723044583.6136017, n release
Unix Timestamp: 1723044584.0449874, Key.space press
Unix Timestamp: 1723044584.1564555, Key.space release
Unix Timestamp: 1723044585.3897734, o press
Unix Timestamp: 1723044585.4536054, o release
Unix Timestamp: 1723044585.5810661, n press
Unix Timestamp: 1723044585.6607683, n release
Unix Timestamp: 1723044585.6777627, e press
Unix Timestamp: 1723044585.740881, Key.space press
Unix Timestamp: 1723044585.7571912, e release
Unix Timestamp: 1723044585.8527765, Key.space release
Unix Timestamp: 1723044585.8847709, o press
Unix Timestamp: 1723044585.9977503, o release
Unix Timestamp: 1723044585.9987123, f press
Unix Timestamp: 1723044586.077207, f release
Unix Timestamp: 1723044586.0782063, Key.space press
Unix Timestamp: 1723044586.2046819, Key.space release
Unix Timestamp: 1723044586.4448268, 5 press
Unix Timestamp: 1723044586.5415606, 5 release
Unix Timestamp: 1723044586.542561, Key.space press
Unix Timestamp: 1723044586.637069, Key.space release
Unix Timestamp: 1723044587.2120667, Key.backspace press
Unix Timestamp: 1723044587.2767043, Key.backspace release
Unix Timestamp: 1723044587.3724313, Key.backspace press
Unix Timestamp: 1723044587.4525683, Key.backspace release
Unix Timestamp: 1723044587.6134255, f press
Unix Timestamp: 1723044587.7247229, f release
Unix Timestamp: 1723044587.773289, i press
Unix Timestamp: 1723044587.884849, i release
Unix Timestamp: 1723044587.9489706, v press
Unix Timestamp: 1723044588.0283196, v release
Unix Timestamp: 1723044588.1891074, e press
Unix Timestamp: 1723044588.3326643, e release
Unix Timestamp: 1723044588.3964844, Key.space press
Unix Timestamp: 1723044588.4927528, Key.space release
Unix Timestamp: 1723044589.1172273, 2 press
Unix Timestamp: 1723044589.1973047, 2 release
Unix Timestamp: 1723044589.2773035, 0 press
Unix Timestamp: 1723044589.3413045, 0 release
Unix Timestamp: 1723044589.9333766, e press
Unix Timestamp: 1723044589.9973686, u press
Unix Timestamp: 1723044590.0450964, e release
Unix Timestamp: 1723044590.1102107, u release
Unix Timestamp: 1723044590.2371972, r press
Unix Timestamp: 1723044590.332763, o press
Unix Timestamp: 1723044590.365719, r release
Unix Timestamp: 1723044590.4610915, o release
Unix Timestamp: 1723044590.700879, Key.space press
Unix Timestamp: 1723044590.8131163, Key.space release
Unix Timestamp: 1723044591.629691, g press
Unix Timestamp: 1723044591.6766758, g release
Unix Timestamp: 1723044591.885224, i press
Unix Timestamp: 1723044591.9652646, i release
Unix Timestamp: 1723044592.2846966, f press
Unix Timestamp: 1723044592.3488293, f release
Unix Timestamp: 1723044592.4453232, t press
Unix Timestamp: 1723044592.509321, t release
Unix Timestamp: 1723044592.5569274, Key.space press
Unix Timestamp: 1723044592.6529515, Key.space release
Unix Timestamp: 1723044592.7495472, c press
Unix Timestamp: 1723044592.8295434, c release
Unix Timestamp: 1723044592.9422753, a press
Unix Timestamp: 1723044593.053436, a release
Unix Timestamp: 1723044593.1649733, r press
Unix Timestamp: 1723044593.2289786, r release
Unix Timestamp: 1723044593.3566847, d press
Unix Timestamp: 1723044593.4207616, d release
Unix Timestamp: 1723044593.4527185, s press
Unix Timestamp: 1723044593.5487783, s release
Unix Timestamp: 1723044611.0530407, . press
Unix Timestamp: 1723044611.1010497, . release
Unix Timestamp: 1723044611.5169482, Key.space press
Unix Timestamp: 1723044611.6125295, Key.space release
Unix Timestamp: 1723044612.061177, a press
Unix Timestamp: 1723044612.1731575, a release
Unix Timestamp: 1723044612.2851858, d press
Unix Timestamp: 1723044612.348398, d release
Unix Timestamp: 1723044612.3503966, n press
Unix Timestamp: 1723044612.4289224, n release
Unix Timestamp: 1723044612.493059, Key.space press
Unix Timestamp: 1723044612.6371264, Key.space release
Unix Timestamp: 1723044612.6381211, t press
Unix Timestamp: 1723044612.7006037, t release
Unix Timestamp: 1723044612.972864, Key.backspace press
Unix Timestamp: 1723044613.0369997, Key.backspace release
Unix Timestamp: 1723044613.1488042, Key.backspace press
Unix Timestamp: 1723044613.1968052, Key.backspace release
Unix Timestamp: 1723044613.292914, Key.backspace press
Unix Timestamp: 1723044613.3569143, Key.backspace release
Unix Timestamp: 1723044613.4370973, Key.backspace press
Unix Timestamp: 1723044613.4691281, Key.backspace release
Unix Timestamp: 1723044613.7577558, n press
Unix Timestamp: 1723044613.8532357, d press
Unix Timestamp: 1723044613.8712423, n release
Unix Timestamp: 1723044613.9489021, d release
Unix Timestamp: 1723044613.9653065, Key.space press
Unix Timestamp: 1723044614.0446343, Key.space release
Unix Timestamp: 1723044614.093634, t press
Unix Timestamp: 1723044614.1576452, t release
Unix Timestamp: 1723044614.159644, h press
Unix Timestamp: 1723044614.253647, h release
Unix Timestamp: 1723044614.3012083, e press
Unix Timestamp: 1723044614.333845, Key.space press
Unix Timestamp: 1723044614.364154, e release
Unix Timestamp: 1723044614.4606433, Key.space release
Unix Timestamp: 1723044614.5739486, s press
Unix Timestamp: 1723044614.638121, s release
Unix Timestamp: 1723044614.641461, o press
Unix Timestamp: 1723044614.7177382, o release
Unix Timestamp: 1723044614.8128927, o press
Unix Timestamp: 1723044614.86191, o release
Unix Timestamp: 1723044614.9737976, n press
Unix Timestamp: 1723044615.0536911, n release
Unix Timestamp: 1723044615.0552561, e press
Unix Timestamp: 1723044615.1335137, r press
Unix Timestamp: 1723044615.15552, e release
Unix Timestamp: 1723044615.1645262, Key.space press
Unix Timestamp: 1723044615.2295702, r release
Unix Timestamp: 1723044615.2927346, Key.space release
Unix Timestamp: 1723044615.4051886, i press
Unix Timestamp: 1723044615.5006137, i release
Unix Timestamp: 1723044615.5808916, Key.space press
Unix Timestamp: 1723044615.6288795, Key.space release
Unix Timestamp: 1723044615.6611009, Key.space press
Unix Timestamp: 1723044615.7591312, Key.space release
Unix Timestamp: 1723044616.1571386, Key.backspace press
Unix Timestamp: 1723044616.220241, Key.backspace release
Unix Timestamp: 1723044616.3005967, Key.backspace press
Unix Timestamp: 1723044616.4285924, Key.backspace release
Unix Timestamp: 1723044616.4768176, Key.caps_lock press
Unix Timestamp: 1723044616.55689, o press
Unix Timestamp: 1723044616.6368895, Key.caps_lock release
Unix Timestamp: 1723044616.6529396, o release
Unix Timestamp: 1723044616.6539328, Key.space press
Unix Timestamp: 1723044616.7483332, Key.space release
Unix Timestamp: 1723044616.828765, p press
Unix Timestamp: 1723044616.924903, p release
Unix Timestamp: 1723044617.1327944, Key.backspace press
Unix Timestamp: 1723044617.2126698, Key.backspace release
Unix Timestamp: 1723044617.3084967, Key.backspace press
Unix Timestamp: 1723044617.3565333, Key.backspace release
Unix Timestamp: 1723044617.4525993, Key.backspace press
Unix Timestamp: 1723044617.5326512, Key.backspace release
Unix Timestamp: 1723044617.7412066, Key.backspace press
Unix Timestamp: 1723044617.8374252, Key.backspace release
Unix Timestamp: 1723044618.1246047, Key.shift press
Unix Timestamp: 1723044618.4286149, I press
Unix Timestamp: 1723044618.5247881, I release
Unix Timestamp: 1723044618.5887804, Key.shift release
Unix Timestamp: 1723044618.5898333, Key.space press
Unix Timestamp: 1723044618.6849923, Key.space release
Unix Timestamp: 1723044618.7333632, p press
Unix Timestamp: 1723044618.79714, p release
Unix Timestamp: 1723044618.8601372, a press
Unix Timestamp: 1723044618.9253302, a release
Unix Timestamp: 1723044619.1008973, r press
Unix Timestamp: 1723044619.164858, t press
Unix Timestamp: 1723044619.2136343, r release
Unix Timestamp: 1723044619.2146375, t release
Unix Timestamp: 1723044619.4363854, Key.backspace press
Unix Timestamp: 1723044619.5005748, Key.backspace release
Unix Timestamp: 1723044619.612847, Key.backspace press
Unix Timestamp: 1723044619.6608002, Key.backspace release
Unix Timestamp: 1723044619.7566485, Key.backspace press
Unix Timestamp: 1723044619.82051, Key.backspace release
Unix Timestamp: 1723044619.9005935, Key.backspace press
Unix Timestamp: 1723044619.9971864, Key.backspace release
Unix Timestamp: 1723044620.1247141, Key.backspace press
Unix Timestamp: 1723044620.220822, Key.backspace release
Unix Timestamp: 1723044620.3493474, Key.backspace press
Unix Timestamp: 1723044620.4286313, Key.backspace release
Unix Timestamp: 1723044620.5727618, Key.caps_lock press
Unix Timestamp: 1723044620.6524687, Key.caps_lock release
Unix Timestamp: 1723044620.9407163, Key.shift press
Unix Timestamp: 1723044621.0855298, I press
Unix Timestamp: 1723044621.149336, I release
Unix Timestamp: 1723044621.1970432, Key.shift release
Unix Timestamp: 1723044621.3245606, Key.space press
Unix Timestamp: 1723044621.437757, Key.space release
Unix Timestamp: 1723044622.0767887, p press
Unix Timestamp: 1723044622.1407921, p release
Unix Timestamp: 1723044622.1887505, a press
Unix Timestamp: 1723044622.2537436, a release
Unix Timestamp: 1723044622.508829, r press
Unix Timestamp: 1723044622.572669, t press
Unix Timestamp: 1723044622.6046643, r release
Unix Timestamp: 1723044622.6691864, t release
Unix Timestamp: 1723044622.7485964, i press
Unix Timestamp: 1723044622.812604, i release
Unix Timestamp: 1723044622.924678, c press
Unix Timestamp: 1723044622.988845, c release
Unix Timestamp: 1723044622.990844, i press
Unix Timestamp: 1723044623.0687149, i release
Unix Timestamp: 1723044623.2606966, p press
Unix Timestamp: 1723044623.357494, p release
Unix Timestamp: 1723044623.42072, a press
Unix Timestamp: 1723044623.5007768, a release
Unix Timestamp: 1723044623.7085955, t press
Unix Timestamp: 1723044623.8049312, t release
Unix Timestamp: 1723044623.900665, e press
Unix Timestamp: 1723044623.9968476, e release
Unix Timestamp: 1723044623.9986157, Key.space press
Unix Timestamp: 1723044624.0926254, Key.space release
Unix Timestamp: 1723044625.3090465, t press
Unix Timestamp: 1723044625.3738139, t release
Unix Timestamp: 1723044625.4053075, h press
Unix Timestamp: 1723044625.485034, h release
Unix Timestamp: 1723044625.581312, e press
