Unix Timestamp: 1724320804.209988, Key.enter release
Unix Timestamp: 1724320885.6339853, Key.shift_r press
Unix Timestamp: 1724320885.8424814, P press
Unix Timestamp: 1724320885.858354, Key.shift_r release
Unix Timestamp: 1724320885.9065347, p release
Unix Timestamp: 1724320886.0026627, a press
Unix Timestamp: 1724320886.0821435, a release
Unix Timestamp: 1724320886.3387828, r press
Unix Timestamp: 1724320886.418238, r release
Unix Timestamp: 1724320886.7222364, t press
Unix Timestamp: 1724320886.7858467, t release
Unix Timestamp: 1724320886.914453, i press
Unix Timestamp: 1724320887.0108452, i release
Unix Timestamp: 1724320887.1859205, c press
Unix Timestamp: 1724320887.2665257, c release
Unix Timestamp: 1724320887.3306403, i press
Unix Timestamp: 1724320887.4106784, i release
Unix Timestamp: 1724320891.0739126, p press
Unix Timestamp: 1724320891.154154, p release
Unix Timestamp: 1724320891.4411607, a press
Unix Timestamp: 1724320891.5226936, a release
Unix Timestamp: 1724320891.8105822, t press
Unix Timestamp: 1724320891.858742, t release
Unix Timestamp: 1724320891.9225392, i press
Unix Timestamp: 1724320892.0343006, n press
Unix Timestamp: 1724320892.1146352, i release
Unix Timestamp: 1724320892.1466827, n release
Unix Timestamp: 1724320892.1776443, g press
Unix Timestamp: 1724320892.2593277, g release
Unix Timestamp: 1724320892.5465267, Key.space press
Unix Timestamp: 1724320892.6263413, Key.space release
Unix Timestamp: 1724320892.8186035, i press
Unix Timestamp: 1724320892.9150867, n press
Unix Timestamp: 1724320892.978531, i release
Unix Timestamp: 1724320893.0421166, n release
Unix Timestamp: 1724320893.234579, Key.space press
Unix Timestamp: 1724320893.3301492, Key.space release
Unix Timestamp: 1724320899.762539, s press
Unix Timestamp: 1724320899.8261201, s release
Unix Timestamp: 1724320900.002197, u press
Unix Timestamp: 1724320900.09937, u release
Unix Timestamp: 1724320900.1631346, r press
Unix Timestamp: 1724320900.2432966, r release
Unix Timestamp: 1724320900.4355583, v press
Unix Timestamp: 1724320900.5148394, v release
Unix Timestamp: 1724320902.5464554, e press
Unix Timestamp: 1724320902.6263955, e release
Unix Timestamp: 1724320902.6423872, y press
Unix Timestamp: 1724320902.7059872, y release
Unix Timestamp: 1724320905.7780895, Key.space press
Unix Timestamp: 1724320905.8420913, Key.space release
Unix Timestamp: 1724320908.4825425, w press
Unix Timestamp: 1724320908.5785232, w release
Unix Timestamp: 1724320908.579214, i press
Unix Timestamp: 1724320908.65873, i release
Unix Timestamp: 1724320908.7864473, t press
Unix Timestamp: 1724320908.8346143, t release
Unix Timestamp: 1724320908.8821788, h press
Unix Timestamp: 1724320908.9945161, Key.space press
Unix Timestamp: 1724320909.010113, h release
Unix Timestamp: 1724320909.0744646, Key.space release
Unix Timestamp: 1724320910.94666, c press
Unix Timestamp: 1724320911.0263453, c release
Unix Timestamp: 1724320911.0425344, h press
Unix Timestamp: 1724320911.123279, h release
Unix Timestamp: 1724320911.202559, a press
Unix Timestamp: 1724320911.2666278, a release
Unix Timestamp: 1724320911.298623, n press
Unix Timestamp: 1724320911.3790052, n release
Unix Timestamp: 1724320911.4584918, c press
Unix Timestamp: 1724320911.5546494, c release
Unix Timestamp: 1724320911.6021788, e press
Unix Timestamp: 1724320911.698919, e release
Unix Timestamp: 1724320911.7302876, Key.space press
Unix Timestamp: 1724320911.794646, Key.space release
Unix Timestamp: 1724320911.8425562, t press
Unix Timestamp: 1724320911.9065716, t release
Unix Timestamp: 1724320912.0025609, o press
Unix Timestamp: 1724320912.1301525, Key.space press
Unix Timestamp: 1724320912.1461074, o release
Unix Timestamp: 1724320912.1944458, Key.space release
Unix Timestamp: 1724320922.4665642, f press
Unix Timestamp: 1724320922.546442, f release
Unix Timestamp: 1724320922.6427407, o press
Unix Timestamp: 1724320922.7222104, o release
Unix Timestamp: 1724320922.7386703, r press
Unix Timestamp: 1724320922.8025794, r release
Unix Timestamp: 1724320922.8508031, Key.space press
Unix Timestamp: 1724320922.9140928, Key.space release
Unix Timestamp: 1724320923.0425863, m press
Unix Timestamp: 1724320923.1221254, m release
Unix Timestamp: 1724320923.1706877, a press
Unix Timestamp: 1724320923.2193098, a release
Unix Timestamp: 1724320923.3473477, s press
Unix Timestamp: 1724320923.4112005, s release
Unix Timestamp: 1724320923.490593, t press
Unix Timestamp: 1724320923.586826, t release
Unix Timestamp: 1724320923.6671598, e press
Unix Timestamp: 1724320923.7306404, e release
Unix Timestamp: 1724320923.79528, r press
Unix Timestamp: 1724320923.8744204, r release
Unix Timestamp: 1724320923.9224868, Key.space press
Unix Timestamp: 1724320924.0030973, Key.space release
Unix Timestamp: 1724320924.8181021, t press
Unix Timestamp: 1724320924.8986065, t release
Unix Timestamp: 1724320925.0585735, h press
Unix Timestamp: 1724320925.1385992, h release
Unix Timestamp: 1724320925.186539, e press
Unix Timestamp: 1724320925.266157, e release
Unix Timestamp: 1724320925.4103112, s press
Unix Timestamp: 1724320925.474314, s release
Unix Timestamp: 1724320925.5703692, i press
Unix Timestamp: 1724320925.666636, i release
Unix Timestamp: 1724320925.698428, s press
Unix Timestamp: 1724320925.7627447, s release
Unix Timestamp: 1724320926.6263309, Key.space press
Unix Timestamp: 1724320926.690601, Key.space release
Unix Timestamp: 1724320934.6912336, w press
Unix Timestamp: 1724320934.754529, w release
Unix Timestamp: 1724320934.866133, i press
Unix Timestamp: 1724320934.9624712, n press
Unix Timestamp: 1724320935.0265858, i release
Unix Timestamp: 1724320935.0745308, n release
Unix Timestamp: 1724320935.1865, Key.space press
Unix Timestamp: 1724320935.2820618, Key.space release
Unix Timestamp: 1724320935.746495, g press
Unix Timestamp: 1724320935.826771, g release
Unix Timestamp: 1724320936.0505142, i press
Unix Timestamp: 1724320936.13065, i release
Unix Timestamp: 1724320936.1626332, f press
Unix Timestamp: 1724320936.2262533, f release
Unix Timestamp: 1724320936.338439, t press
Unix Timestamp: 1724320936.4179978, t release
Unix Timestamp: 1724320936.4504845, Key.space press
Unix Timestamp: 1724320936.5146444, Key.space release
Unix Timestamp: 1724320936.738614, c press
Unix Timestamp: 1724320936.8032432, c release
Unix Timestamp: 1724320936.8497474, a press
Unix Timestamp: 1724320936.930255, a release
Unix Timestamp: 1724320936.978663, r press
Unix Timestamp: 1724320937.0741413, d press
Unix Timestamp: 1724320937.1065953, r release
Unix Timestamp: 1724320937.1707711, d release
Unix Timestamp: 1724320937.186824, s press
Unix Timestamp: 1724320937.2506025, s release
Unix Timestamp: 1724320937.3308854, Key.space press
Unix Timestamp: 1724320937.3787792, Key.space release
Unix Timestamp: 1724320937.5865424, o press
Unix Timestamp: 1724320937.6660426, o release
Unix Timestamp: 1724320937.6990125, f press
Unix Timestamp: 1724320937.762827, f release
Unix Timestamp: 1724320938.1952147, Key.space press
Unix Timestamp: 1724320938.2582412, Key.space release
Unix Timestamp: 1724320938.5954258, 2 press
Unix Timestamp: 1724320938.6908357, 2 release
Unix Timestamp: 1724320938.722841, 0 press
Unix Timestamp: 1724320938.803444, 0 release
Unix Timestamp: 1724320938.9462636, Key.space press
Unix Timestamp: 1724320939.0264463, Key.space release
Unix Timestamp: 1724320939.1387415, e press
Unix Timestamp: 1724320939.202845, e release
Unix Timestamp: 1724320939.2991283, u press
Unix Timestamp: 1724320939.3624847, u release
Unix Timestamp: 1724320939.6185966, r press
Unix Timestamp: 1724320939.6987054, r release
Unix Timestamp: 1724320939.9714942, o press
Unix Timestamp: 1724320940.0354805, o release
Unix Timestamp: 1724320940.546602, s press
Unix Timestamp: 1724320940.6107986, s release
Unix Timestamp: 1724320980.195353, . press
Unix Timestamp: 1724320980.2745008, . release
Unix Timestamp: 1724320980.3545065, Key.space press
Unix Timestamp: 1724320980.434697, Key.space release
Unix Timestamp: 1724320980.5786624, Key.shift_r press
Unix Timestamp: 1724320980.7067988, Key.shift_r release
Unix Timestamp: 1724320980.707799, f press
Unix Timestamp: 1724320980.770677, f release
Unix Timestamp: 1724320980.8509328, o press
