AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723044462.605008,1723044533.5842302,97,615.2989690721649,97,369.1546391752577
Footer,1723044511.2528424,1723044531.596129,549,636.9398907103825,549,852.8214936247723
Inbox and Folders,1723044462.1847148,1723044533.5326097,10,418.2,10,216.0
Main Content,1723044465.4929862,1723044535.1083796,925,691.3016216216216,925,601.8054054054054
Other,1723044462.2244227,1723044533.540231,99,383.7979797979798,99,80.01010101010101
Sender Email,1723044462.2324271,1723044533.5482311,38,521.2631578947369,38,284.3421052631579
