AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723046572.449217,1723046658.601412,1311,828.4225781845919,1311,388.8840579710145
Footer,1723046651.3856826,1723046653.3053474,149,568.7315436241611,149,758.1006711409397
Main Content,1723046571.1659966,1723046658.5694618,5377,864.842849172401,5377,568.0193416403199
Other,1723046651.3619602,1723046660.793167,132,468.6439393939394,132,129.8030303030303
Sender Email,1723046658.617684,1723046660.6890242,28,506.4642857142857,28,270.0
