AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723044908.0713804,1723045019.6795611,374,676.7780748663101,374,417.82085561497325
Inbox and Folders,1723044908.0072181,1723044908.0554347,7,386.14285714285717,7,284.85714285714283
Main Content,1723044914.4235187,1723045021.2310646,2939,853.4504933650902,2939,520.7124872405581
Other,1723044908.0633833,1723045014.775268,73,605.5479452054794,73,200.8904109589041
Sender Email,1723045005.1427567,1723045014.7426758,10,607.0,10,273.0
