AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723045313.8174615,1723045363.9860713,568,722.3116197183099,568,390.5792253521127
Inbox and Folders,1723045310.0936248,1723045344.2492175,69,372.69565217391306,69,316.84057971014494
Main Content,1723045318.4974663,1723045365.4491637,2904,881.1604683195592,2904,508.35020661157023
Other,1723045311.4177756,1723045344.289383,119,558.2016806722689,119,328.2352941176471
Sender Email,1723045312.8255975,1723045313.4256818,59,631.1355932203389,59,284.0508474576271
