AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723046111.0866878,1723046299.5190103,389,589.1953727506427,389,424.4061696658098
Footer,1723046207.3828282,1723046298.8703094,1115,671.8780269058296,1115,796.5847533632287
Inbox and Folders,1723046111.007485,1723046300.5506437,58,410.41379310344826,58,363.63793103448273
Main Content,1723046111.63038,1723046301.9981685,10339,802.2543766321695,10339,589.0032885191991
Other,1723046111.0718486,1723046300.5586717,91,402.1208791208791,91,193.46153846153845
Sender Email,1723046299.5269732,1723046299.5269732,1,483.0,1,294.0
