AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723045448.6135998,1723045516.9534159,693,671.966810966811,693,391.5093795093795
Inbox and Folders,1723045448.5577292,1723045513.369052,14,409.5,14,312.42857142857144
Main Content,1723045452.9209778,1723045516.9289103,2288,724.3645104895105,2288,522.8238636363636
Other,1723045448.6055963,1723045516.9975936,77,531.3116883116883,77,260.93506493506493
Sender Email,1723045512.6413097,1723045516.9654148,16,547.0,16,273.5625
