AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723044741.7558699,1723044777.6513,11,627.4545454545455,11,391.1818181818182
Footer,1723044741.9078429,1723044742.1553466,18,782.9444444444445,18,770.8333333333334
Inbox and Folders,1723044756.1478715,1723044756.3478897,13,431.46153846153845,13,500.6923076923077
Main Content,1723044741.8036332,1723044777.615885,2564,983.914976599064,2564,551.9691887675507
Other,1723044741.731879,1723044777.7118347,13,590.5384615384615,13,281.0769230769231
