AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723045962.443425,1723046025.7117903,477,635.2704402515724,477,387.2997903563941
Inbox and Folders,1723045977.5238068,1723045977.967799,50,390.88,50,267.6
Main Content,1723045961.0239186,1723046028.2402825,2692,750.0040861812779,2692,510.0315750371471
Other,1723045965.3878086,1723046024.2791672,445,703.791011235955,445,238.75730337078653
Sender Email,1723045965.423918,1723046024.22763,298,607.7114093959732,298,278.7852348993289
