AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723045590.6046076,1723045721.9967332,526,665.712927756654,526,408.615969581749
Footer,1723045646.132181,1723045718.1007378,486,699.4547325102881,486,795.3744855967078
Inbox and Folders,1723045590.5043478,1723045590.5886042,9,317.44444444444446,9,283.55555555555554
Main Content,1723045590.6206064,1723045721.9800143,4319,891.9347071081269,4319,597.3354943273906
Other,1723045590.5968688,1723045718.1084533,14,529.2142857142857,14,555.4285714285714
