AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723037945.4778926,1723038060.3526034,248,1001.9193548387096,248,402.6774193548387
Footer,1723038026.389688,1723038051.8457696,314,782.2866242038217,314,807.2834394904459
Inbox and Folders,1723037944.7257843,1723037945.061848,42,330.1190476190476,42,244.16666666666666
Main Content,1723037949.0776896,1723038087.2456112,2337,1047.3281985451433,2337,611.4946512623021
Other,1723037945.069699,1723038051.6374207,210,452.5285714285714,210,509.17619047619047
Sender Email,1723037945.0860105,1723038034.3575282,11,580.0,11,268.3636363636364
