AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722787148.4093409,1722787151.8497636,373,805.0428954423593,373,390.48257372654155
Footer,1722787195.4632711,1722787195.6410403,22,511.5,22,754.8636363636364
Inbox and Folders,1722787147.7332766,1722787197.4094868,216,295.0138888888889,216,298.3287037037037
Main Content,1722787151.857813,1722787195.6805246,844,611.3388625592418,844,679.5225118483412
Other,1722787148.4013321,1722787195.729386,13,441.7692307692308,13,654.0769230769231
