AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722787411.5400128,1722787426.6111524,216,627.9537037037037,216,398.64814814814815
Inbox and Folders,1722787393.7478213,1722787427.7924254,238,296.97478991596637,238,259.83193277310926
Main Content,1722787411.7468035,1722787426.5921636,1020,682.1313725490196,1020,455.71666666666664
Other,1722787393.416815,1722787426.6422186,45,681.6,45,182.86666666666667
Sender Email,1722787393.3968325,1722787393.3968325,1,560.0,1,278.0
