AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722787205.1612964,1722787250.1523235,333,937.990990990991,333,394.5945945945946
Inbox and Folders,1722787203.640777,1722787251.8732197,214,297.803738317757,214,252.81308411214954
Main Content,1722787219.0650373,1722787250.0593913,630,1038.815873015873,630,578.1952380952381
Other,1722787205.1206708,1722787250.2973056,19,506.7368421052632,19,274.3157894736842
Sender Email,1722787250.1818795,1722787250.2009025,4,623.25,4,279.5
