AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722787038.777947,1722787099.4399705,80,702.3,80,411.05
Footer,1722787038.5939405,1722787096.7174828,106,708.122641509434,106,874.0471698113207
Inbox and Folders,1722787038.841965,1722787101.8124168,342,315.17543859649123,342,248.30701754385964
Main Content,1722787038.7374897,1722787099.3477807,113,613.9115044247787,113,540.929203539823
Other,1722787037.658048,1722787099.4840665,474,458.40928270042195,474,303.12869198312234
Sender Email,1722787038.8019292,1722787097.969837,749,576.3965287049399,749,278.40987983978636
