type,x,y,timestamp,button,pressed,dx,dy
move,835,924,1722787038.6973803,,,,
move,841,874,1722787038.7059367,,,,
move,841,842,1722787038.7135637,,,,
move,837,795,1722787038.7220109,,,,
move,821,740,1722787038.7294817,,,,
move,798,683,1722787038.7374897,,,,
move,771,625,1722787038.7455013,,,,
move,742,566,1722787038.7540157,,,,
move,711,510,1722787038.7617605,,,,
move,675,456,1722787038.7695374,,,,
move,638,405,1722787038.777947,,,,
move,602,358,1722787038.7854667,,,,
move,566,317,1722787038.7936523,,,,
move,531,280,1722787038.8019292,,,,
move,500,248,1722787038.810532,,,,
move,473,222,1722787038.817518,,,,
move,458,208,1722787038.8260014,,,,
move,440,190,1722787038.8335185,,,,
move,433,181,1722787038.841965,,,,
move,432,179,1722787038.849622,,,,
move,431,179,1722787038.8575187,,,,
move,431,177,1722787038.865845,,,,
move,431,177,1722787038.874101,,,,
move,431,176,1722787038.8817651,,,,
move,430,176,1722787038.889675,,,,
move,429,176,1722787038.9494567,,,,
move,425,178,1722787038.9579053,,,,
move,423,179,1722787038.9650147,,,,
move,420,180,1722787038.9735787,,,,
move,415,182,1722787038.9820998,,,,
move,414,183,1722787038.9897635,,,,
move,410,187,1722787038.9981751,,,,
move,408,191,1722787039.005689,,,,
move,407,194,1722787039.0138857,,,,
move,404,199,1722787039.0220659,,,,
move,402,203,1722787039.0296588,,,,
move,398,212,1722787039.0375996,,,,
move,394,222,1722787039.0456662,,,,
move,391,227,1722787039.054214,,,,
move,388,235,1722787039.0617478,,,,
move,384,239,1722787039.0737965,,,,
move,383,241,1722787039.0819428,,,,
move,382,242,1722787039.0895905,,,,
move,381,243,1722787039.097533,,,,
move,380,243,1722787039.1618786,,,,
move,379,243,1722787039.1784527,,,,
move,377,241,1722787039.1856499,,,,
move,376,239,1722787039.19418,,,,
move,376,238,1722787039.2019572,,,,
move,375,238,1722787039.209533,,,,
move,374,236,1722787039.2174742,,,,
move,372,235,1722787039.225096,,,,
move,372,234,1722787039.2339044,,,,
move,372,233,1722787039.241768,,,,
move,370,232,1722787039.2497802,,,,
move,370,232,1722787039.2571812,,,,
move,370,231,1722787039.2656865,,,,
move,369,231,1722787039.2740843,,,,
click,369,231,1722787039.3067467,Button.left,True,,
move,369,231,1722787039.3148205,,,,
move,368,231,1722787039.322332,,,,
move,367,231,1722787039.3298454,,,,
move,365,231,1722787039.3378553,,,,
move,361,233,1722787039.3460426,,,,
move,357,234,1722787039.3535552,,,,
move,354,234,1722787039.3616421,,,,
move,351,234,1722787039.3696465,,,,
move,345,235,1722787039.3781755,,,,
move,335,236,1722787039.3856986,,,,
move,327,236,1722787039.3934715,,,,
move,313,236,1722787039.401992,,,,
move,298,236,1722787039.4095104,,,,
move,284,236,1722787039.4175243,,,,
move,274,236,1722787039.4255562,,,,
move,264,236,1722787039.4340749,,,,
move,252,236,1722787039.4415975,,,,
move,239,236,1722787039.4495928,,,,
move,229,236,1722787039.457672,,,,
move,223,236,1722787039.465193,,,,
move,220,236,1722787039.4737093,,,,
move,218,235,1722787039.4819102,,,,
move,217,235,1722787039.4899178,,,,
move,215,234,1722787039.4972527,,,,
move,214,233,1722787039.505793,,,,
move,212,232,1722787039.514185,,,,
move,210,232,1722787039.5207815,,,,
move,208,231,1722787039.526173,,,,
move,207,230,1722787039.5376978,,,,
move,205,229,1722787039.5457342,,,,
move,203,228,1722787039.553258,,,,
move,199,227,1722787039.5617895,,,,
move,197,227,1722787039.5697846,,,,
move,196,227,1722787039.5779817,,,,
move,195,227,1722787039.5860825,,,,
move,193,227,1722787039.5936773,,,,
move,193,227,1722787039.6097124,,,,
click,193,227,1722787039.7658007,Button.left,False,,
move,193,227,1722787040.0936332,,,,
move,194,227,1722787040.1058936,,,,
move,196,228,1722787040.1131837,,,,
move,199,229,1722787040.1216931,,,,
move,202,230,1722787040.1297321,,,,
move,207,231,1722787040.1378798,,,,
move,210,232,1722787040.145454,,,,
move,214,233,1722787040.153825,,,,
move,220,234,1722787040.1613421,,,,
move,229,235,1722787040.1699297,,,,
move,236,235,1722787040.1781864,,,,
move,244,235,1722787040.1857436,,,,
move,249,235,1722787040.194157,,,,
move,255,235,1722787040.201318,,,,
move,257,235,1722787040.2098248,,,,
move,259,235,1722787040.218081,,,,
move,264,235,1722787040.225913,,,,
move,266,234,1722787040.2339573,,,,
move,268,234,1722787040.2421017,,,,
move,271,234,1722787040.2498524,,,,
move,276,234,1722787040.2572806,,,,
move,279,234,1722787040.2657974,,,,
move,284,234,1722787040.2730107,,,,
move,286,234,1722787040.2815647,,,,
move,288,234,1722787040.2900417,,,,
move,292,235,1722787040.2983387,,,,
move,293,235,1722787040.3058927,,,,
move,293,235,1722787040.3139708,,,,
click,293,235,1722787040.434197,Button.left,True,,
move,294,235,1722787040.4660356,,,,
click,294,235,1722787040.5028298,Button.left,False,,
click,294,235,1722787053.7799752,Button.left,True,,
click,294,235,1722787053.94196,Button.left,False,,
move,294,235,1722787054.1936312,,,,
move,294,235,1722787054.2018695,,,,
move,294,235,1722787054.209852,,,,
move,297,235,1722787054.2180693,,,,
move,299,234,1722787054.2258008,,,,
move,301,234,1722787054.2340765,,,,
move,305,233,1722787054.2415986,,,,
move,309,233,1722787054.2495887,,,,
move,315,232,1722787054.2580078,,,,
move,317,232,1722787054.265533,,,,
move,318,232,1722787054.273047,,,,
move,320,232,1722787054.2814863,,,,
move,325,235,1722787054.2897544,,,,
move,327,237,1722787054.2981079,,,,
move,333,239,1722787054.3056266,,,,
move,343,245,1722787054.3137639,,,,
move,354,250,1722787054.3212807,,,,
