AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722787365.3524728,1722787370.7198918,49,572.1836734693877,49,368.48979591836735
Footer,1722787365.3847446,1722787365.7968295,10,529.3,10,937.4
Inbox and Folders,1722787366.2403293,1722787370.2160857,133,313.83458646616543,133,265.1353383458647
Main Content,1722787365.360223,1722787366.157042,30,577.2333333333333,30,559.3666666666667
Other,1722787365.3449605,1722787370.9288971,60,501.7,60,507.45
Sender Email,1722787370.2690222,1722787373.0723827,86,554.3255813953489,86,278.9651162790698
