AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Inbox and Folders,1722787256.2010415,1722787256.2572436,8,342.125,8,313.875
Main Content,1722787256.2647598,1722787310.6804495,1810,534.6513812154697,1810,601.232044198895
