AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722869242.191725,1722869331.7798483,1034,862.1141199226306,1034,381.04545454545456
Footer,1722869230.2797906,1722869334.7951195,2607,1120.1246643651707,2607,903.0099731492137
Inbox and Folders,1722869255.5284474,1722869331.675317,81,337.44444444444446,81,360.5679012345679
Main Content,1722869230.5284665,1722869331.9312522,3881,925.4426694150992,3881,573.2738984797733
Other,1722869230.167915,1722869334.835196,2393,607.5637275386545,2393,398.43501880484746
Sender Email,1722869301.10784,1722869331.7001948,39,625.0769230769231,39,276.8205128205128
