AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1722869908.4682686,1722869922.804328,1424,919.063202247191,1424,387.5758426966292
Footer,1722869898.6848824,1722869938.356626,1033,696.5517909002904,1033,847.163601161665
Inbox and Folders,1722869899.7163374,1722869923.1332495,87,338.2413793103448,87,468.98850574712645
Main Content,1722869922.8226447,1722869922.87143,8,489.375,8,463.625
Other,1722869898.4448996,1722869938.389192,462,308.0952380952381,462,354.4891774891775
Sender Email,1722869904.0212648,1722869908.3806813,407,578.3390663390663,407,279.2800982800983
