type,x,y,timestamp,button,pressed,dx,dy
move,841,517,1722869233.9281268,,,,
move,841,517,1722869233.9361906,,,,
move,842,517,1722869233.9442215,,,,
move,842,518,1722869233.9602711,,,,
move,843,518,1722869233.9682858,,,,
move,843,518,1722869233.992577,,,,
move,843,519,1722869234.0240479,,,,
move,844,519,1722869234.0403466,,,,
click,844,519,1722869234.1324875,Button.right,True,,
click,844,519,1722869234.236375,Button.right,False,,
click,844,519,1722869234.3485177,Button.right,True,,
click,844,519,1722869234.4805858,Button.right,False,,
click,844,519,1722869234.5363507,Button.right,True,,
click,844,519,1722869234.6723893,Button.right,False,,
click,844,519,1722869234.7959344,Button.right,True,,
click,844,519,1722869234.8964717,Button.right,False,,
move,844,519,1722869235.028567,,,,
move,842,519,1722869235.0360532,,,,
move,842,519,1722869235.0441465,,,,
move,840,519,1722869235.0517242,,,,
move,840,519,1722869235.060254,,,,
move,839,519,1722869235.0682476,,,,
move,838,519,1722869235.1764085,,,,
click,838,519,1722869235.233716,Button.right,True,,
click,838,519,1722869235.503965,Button.right,False,,
click,838,519,1722869235.5684922,Button.right,True,,
click,838,519,1722869235.6844473,Button.right,False,,
click,838,519,1722869235.7805676,Button.right,True,,
click,838,519,1722869235.8640335,Button.right,False,,
click,838,519,1722869235.9365015,Button.right,True,,
click,838,519,1722869236.0242357,Button.right,False,,
click,838,519,1722869236.1290007,Button.right,True,,
click,838,519,1722869236.1924336,Button.right,False,,
click,838,519,1722869236.2751057,Button.right,True,,
click,838,519,1722869236.5820546,Button.right,False,,
click,838,519,1722869236.6420522,Button.right,True,,
click,838,519,1722869236.768652,Button.right,False,,
move,838,519,1722869236.8323586,,,,
move,838,520,1722869236.8407097,,,,
move,837,521,1722869236.8563042,,,,
move,836,522,1722869236.8643322,,,,
move,836,523,1722869236.8717604,,,,
move,836,524,1722869236.8803217,,,,
move,836,525,1722869236.8885016,,,,
move,835,526,1722869236.8958564,,,,
move,835,527,1722869236.9041681,,,,
move,835,529,1722869236.9120693,,,,
move,835,529,1722869236.9201803,,,,
move,834,530,1722869236.9281394,,,,
move,834,532,1722869236.9444213,,,,
move,834,532,1722869236.960313,,,,
move,834,533,1722869236.9839523,,,,
move,834,534,1722869236.9921315,,,,
move,834,535,1722869236.999402,,,,
move,834,535,1722869237.0080123,,,,
move,834,536,1722869237.016294,,,,
move,834,537,1722869237.0235567,,,,
move,834,537,1722869237.0321784,,,,
move,833,538,1722869237.0405495,,,,
move,833,539,1722869237.0481896,,,,
move,833,540,1722869237.0561693,,,,
move,833,540,1722869237.0724065,,,,
move,833,542,1722869237.0799272,,,,
move,833,543,1722869237.0879216,,,,
move,833,543,1722869237.0959954,,,,
move,833,545,1722869237.1041675,,,,
move,833,545,1722869237.112061,,,,
move,833,546,1722869237.120249,,,,
move,833,549,1722869237.127973,,,,
move,833,550,1722869237.1357164,,,,
move,833,550,1722869237.1442423,,,,
move,833,551,1722869237.1521735,,,,
move,833,553,1722869237.1601007,,,,
move,833,554,1722869237.1762056,,,,
move,833,555,1722869237.191998,,,,
move,833,555,1722869237.200314,,,,
move,833,556,1722869237.2082987,,,,
move,832,556,1722869237.2240398,,,,
move,832,557,1722869237.2316396,,,,
move,832,558,1722869237.2483397,,,,
move,832,558,1722869237.2565355,,,,
move,831,558,1722869237.2645261,,,,
move,831,559,1722869237.2803354,,,,
move,831,559,1722869237.3043492,,,,
click,831,559,1722869237.3370628,Button.left,True,,
click,831,559,1722869237.399982,Button.left,False,,
move,831,561,1722869237.571693,,,,
move,831,562,1722869237.5800767,,,,
move,831,564,1722869237.5880377,,,,
move,831,565,1722869237.596123,,,,
move,832,567,1722869237.6044497,,,,
move,833,570,1722869237.6123729,,,,
move,833,573,1722869237.6198933,,,,
move,833,576,1722869237.6278994,,,,
move,834,578,1722869237.6320937,,,,
move,834,580,1722869237.6395705,,,,
move,834,581,1722869237.6480863,,,,
move,834,583,1722869237.656293,,,,
move,834,584,1722869237.6635633,,,,
move,834,586,1722869237.6722567,,,,
move,834,587,1722869237.6803439,,,,
move,834,588,1722869237.6880426,,,,
move,834,589,1722869237.6961198,,,,
move,834,590,1722869237.703659,,,,
move,834,591,1722869237.7122426,,,,
move,834,592,1722869237.7195992,,,,
move,834,593,1722869237.7282145,,,,
move,835,594,1722869237.7440557,,,,
move,835,595,1722869237.7519379,,,,
move,835,595,1722869237.7594693,,,,
move,835,596,1722869237.7680717,,,,
move,835,597,1722869237.7758434,,,,
move,835,597,1722869237.7840998,,,,
move,835,599,1722869237.7914612,,,,
move,835,600,1722869237.8001971,,,,
move,835,601,1722869237.8080497,,,,
move,835,603,1722869237.81622,,,,
move,835,604,1722869237.8241746,,,,
move,835,604,1722869237.831713,,,,
move,835,606,1722869237.8407009,,,,
move,835,606,1722869237.848182,,,,
move,836,607,1722869237.8560958,,,,
move,837,609,1722869237.8636487,,,,
move,837,609,1722869237.8720796,,,,
move,837,611,1722869237.8799496,,,,
move,838,612,1722869237.8882656,,,,
move,838,613,1722869237.8964005,,,,
move,839,615,1722869237.9041698,,,,
move,839,617,1722869237.9120195,,,,
move,839,618,1722869237.920083,,,,
move,840,619,1722869237.9280815,,,,
move,840,621,1722869237.9365082,,,,
move,840,621,1722869237.944026,,,,
move,841,623,1722869237.9521425,,,,
move,841,623,1722869237.960021,,,,
move,841,624,1722869237.9680822,,,,
move,841,625,1722869237.9757607,,,,
move,841,626,1722869237.9843597,,,,
move,841,627,1722869237.992346,,,,
move,841,627,1722869237.9994648,,,,
move,841,628,1722869238.0082426,,,,
move,841,629,1722869238.0162668,,,,
move,841,630,1722869238.0243645,,,,
move,841,631,1722869238.0322216,,,,
move,842,632,1722869238.0398302,,,,
move,843,633,1722869238.0478318,,,,
