Timestamp	HR	SDNN	RMSSD
1723038124.0	58	13.9085	18.5630
1723038132.0	61	13.8677	18.5060
1723038137.0	68	13.8370	18.4446
1723038138.0	75	13.8260	18.3851
1723038139.0	78	13.8147	18.3233
1723038141.0	81	13.7976	18.2623
1723038169.0	78	13.8062	18.3243
1723038188.0	81	13.7695	18.2785
1723038198.0	78	13.7269	18.2332
1723038202.0	75	13.7016	18.1804
1723038218.0	78	13.6598	18.1472
1723038220.0	81	13.6442	18.1237
1723038279.0	78	14.0836	18.6298
1723038304.0	81	14.0702	18.7667
1723038316.0	80	14.0265	18.7360
1723038336.0	75	13.9929	18.6881
1723038339.0	72	13.9730	18.6781
1723038343.0	75	13.9487	18.6205
1723038358.0	78	13.9069	18.5833
1723038361.0	81	13.8872	18.5502
1723038363.0	84	13.8721	18.4941
1723038399.0	81	13.9432	18.6262
1723038405.0	78	13.9127	18.7148
1723038421.0	81	13.8732	18.6750
1723038438.0	78	13.8354	18.6198
1723038456.0	81	13.7998	18.5651
1723038484.0	84	13.8053	18.5266
1723038526.0	81	13.9361	18.5035
1723038546.0	78	13.9047	18.5256
1723038581.0	81	13.9592	18.5072
1723038595.0	84	13.9195	18.5224
1723038604.0	81	13.8845	18.4736
1723038642.0	84	13.9649	18.5498
1723038647.0	79	13.9411	18.6623
1723038651.0	76	13.9210	18.6102
1723038657.0	76	13.8941	18.5591
1723038664.0	81	13.8644	18.5079
1723038665.0	81	13.8575	18.4623
1723038692.0	78	13.8554	18.5118
1723038694.0	75	13.8440	18.5532
1723038695.0	72	13.8370	18.5032
1723038703.0	76	13.8057	18.4605
1723038707.0	79	13.7859	18.4134
1723038730.0	76	13.7671	18.4166
1723038732.0	73	13.7557	18.4312
1723038754.0	77	13.7338	18.4398
1723038757.0	80	13.7185	18.4428
1723038764.0	77	13.6905	18.3970
1723038779.0	85	13.6557	18.3583
1723038780.0	88	13.6490	18.3385
1723038783.0	91	13.6338	18.2919
1723038789.0	88	13.6088	18.2465
1723038793.0	85	13.5899	18.2007
1723038802.0	82	13.5589	18.1581
1723038805.0	79	13.5437	18.1174
1723038861.0	82	13.8437	18.4566
1723038879.0	85	13.8134	18.6047
1723038894.0	82	13.7799	18.5598
1723038909.0	78	13.7466	18.5140
1723038913.0	75	13.7283	18.4846
1723038943.0	72	13.7443	18.5287
1723038947.0	69	13.7264	18.5722
1723038951.0	66	13.7084	18.5273
1723038954.0	63	13.6939	18.4828
1723038968.0	66	13.6613	18.4543
1723038977.0	69	13.6320	18.4135
1723038980.0	73	13.6177	18.3745
1723038983.0	76	13.6034	18.3311
1723038989.0	79	13.5802	18.2891
1723039011.0	82	13.5622	18.2791
1723039017.0	85	13.5394	18.2692
1723039025.0	82	13.5125	18.2273
1723039032.0	79	13.4877	18.1854
1723039035.0	76	13.4738	18.1457
1723039053.0	79	13.4474	18.1326
1723039056.0	82	13.4337	18.1196
1723039110.0	85	13.6824	18.4011
1723039121.0	82	13.6524	18.5851
1723039125.0	79	13.6355	18.5493
1723039130.0	82	13.6158	18.5080
