Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724082249, 79, 48.0, NaN
1724082250, 79, 48.0, NaN
1724082251, 79, 48.0, NaN
1724082252, 79, 48.0, NaN
1724082253, 80, 48.0, NaN
1724082254, 82, 48.0, NaN
1724082255, 87, 48.0, NaN
1724082256, 91, 48.0, NaN
1724082257, 93, 48.0, NaN
1724082258, 96, 48.0, NaN
1724082259, 97, 48.0, NaN
1724082260, 98, 48.0, NaN
1724082261, 98, 49.0, NaN
1724082262, 98, 49.0, NaN
1724082263, 98, 49.0, NaN
1724082264, 97, 49.0, NaN
1724082265, 96, 49.0, NaN
1724082266, 94, 51.0, 12.03
1724082267, 94, 51.0, 12.03
1724082268, 93, 51.0, 12.03
1724082269, 92, 51.0, 12.05
1724082270, 92, 51.0, 12.05
1724082271, 91, 59.0, 12.05
1724082272, 91, 59.0, 12.05
1724082273, 92, 59.0, 12.06
1724082274, 92, 59.0, 12.06
1724082275, 92, 59.0, 12.06
1724082276, 92, 60.0, 12.06
1724082277, 89, 60.0, 12.08
1724082278, 86, 60.0, 12.08
1724082279, 83, 60.0, 12.08
1724082280, 80, 60.0, 12.13
1724082281, 77, 61.0, 12.13
1724082282, 71, 61.0, 12.13
1724082283, 66, 61.0, 12.18
1724082284, 63, 61.0, 12.18
1724082285, 62, 61.0, 12.18
1724082286, 62, 54.0, 12.18
1724082287, 61, 54.0, 12.31
1724082288, 61, 54.0, 12.31
1724082289, 61, 54.0, 12.31
1724082290, 61, 54.0, 12.36
1724082291, 61, 34.0, 12.36
1724082292, 61, 34.0, 12.52
1724082293, 60, 34.0, 12.52
1724082294, 60, 34.0, 12.52
1724082295, 60, 34.0, 12.61
1724082296, 60, 21.0, 12.61
1724082297, 60, 21.0, 12.85
1724082298, 60, 21.0, 12.85
1724082299, 60, 21.0, 12.85
1724082300, 60, 21.0, 12.99
1724082301, 60, 14.0, 12.99
1724082302, 60, 14.0, 12.99
1724082303, 60, 14.0, 13.34
1724082304, 60, 14.0, 13.34
1724082305, 60, 14.0, 13.34
1724082306, 60, 9.0, 13.34
1724082307, 60, 9.0, 13.36
1724082308, 60, 9.0, 13.36
1724082309, 61, 9.0, 13.36
1724082310, 61, 9.0, 13.54
1724082311, 61, 3.0, 13.54
1724082312, 61, 3.0, 13.54
1724082313, 61, 3.0, 13.62
1724082314, 62, 3.0, 13.62
1724082315, 62, 3.0, 13.62
1724082316, 62, 4.0, 13.79
1724082317, 63, 4.0, 13.79
1724082318, 62, 4.0, 13.79
1724082319, 62, 4.0, 13.79
1724082320, 62, 4.0, 13.83
1724082321, 62, 4.0, 13.83
1724082322, 63, 4.0, 13.83
1724082323, 63, 4.0, 13.83
