Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724080342, 67, 17.0, NaN
1724080343, 67, 17.0, NaN
1724080344, 68, 17.0, NaN
1724080345, 68, 17.0, NaN
1724080346, 72, 17.0, NaN
1724080347, 72, 17.0, NaN
1724080348, 74, 17.0, NaN
1724080349, 75, 17.0, NaN
1724080350, 75, 17.0, NaN
1724080351, 76, 17.0, NaN
1724080352, 76, 17.0, NaN
1724080353, 76, 17.0, NaN
1724080354, 76, 17.0, 11.92
1724080355, 75, 17.0, 11.92
1724080356, 75, 17.0, 11.95
1724080357, 75, 17.0, 11.95
1724080358, 75, 17.0, 11.95
1724080359, 75, 17.0, 11.95
1724080360, 75, 17.0, 11.98
1724080361, 74, 17.0, 11.98
1724080362, 74, 17.0, 12.08
1724080363, 73, 17.0, 12.08
1724080364, 71, 17.0, 12.08
1724080365, 69, 17.0, 12.14
1724080366, 67, 17.0, 12.14
1724080367, 65, 17.0, 12.24
1724080368, 64, 17.0, 12.24
1724080369, 63, 17.0, 12.24
1724080370, 62, 14.0, 12.24
1724080371, 62, 14.0, 12.24
1724080372, 61, 14.0, 12.24
1724080373, 61, 14.0, 12.24
1724080374, 61, 14.0, 12.24
1724080375, 62, 9.0, 12.24
1724080376, 62, 9.0, 12.24
1724080377, 63, 9.0, 12.24
1724080378, 64, 9.0, 12.22
1724080379, 65, 9.0, 12.22
1724080380, 67, 9.0, 12.22
1724080381, 69, 9.0, 12.22
1724080382, 69, 9.0, 12.22
1724080383, 70, 9.0, 12.24
1724080384, 70, 9.0, 12.24
1724080385, 72, 11.0, 12.24
1724080386, 72, 11.0, 12.24
1724080387, 72, 11.0, 12.24
1724080388, 73, 11.0, 12.24
1724080389, 73, 11.0, 12.24
1724080390, 73, NaN, 12.24
1724080391, 73, NaN, 12.24
1724080392, 73, NaN, 12.24
1724080393, 74, NaN, 12.26
1724080394, 74, NaN, 12.31
1724080395, 74, NaN, 12.31
1724080396, 74, NaN, 12.31
1724080397, 74, NaN, 12.31
1724080398, 76, NaN, 12.31
1724080399, 78, NaN, 12.31
1724080400, 80, NaN, 12.31
1724080401, 79, NaN, 12.31
1724080402, 79, NaN, 12.31
1724080403, 80, NaN, 12.31
1724080404, 80, NaN, 12.31
1724080405, 79, 20.0, 12.2
1724080406, 79, 20.0, 12.2
1724080407, 79, 20.0, 12.2
1724080408, 79, 20.0, 12.29
1724080409, 78, 20.0, 12.29
1724080410, 78, 23.0, 12.29
1724080411, 78, 23.0, 12.4
1724080412, 78, 23.0, 12.4
1724080413, 78, 23.0, 12.48
1724080414, 78, 23.0, 12.48
1724080415, 78, 29.0, 12.48
1724080416, 78, 29.0, 12.55
1724080417, 78, 29.0, 12.55
1724080418, 78, 29.0, 12.55
1724080419, 78, 29.0, 12.55
1724080420, 77, 30.0, 12.63
1724080421, 77, 30.0, 12.63
1724080422, 75, 30.0, 12.97
1724080423, 72, 30.0, 12.97
1724080424, 69, 30.0, 12.97
1724080425, 67, NaN, 13.3
1724080426, 66, NaN, 13.3
1724080427, 66, NaN, 13.61
1724080428, 67, NaN, 13.61
1724080429, 68, NaN, 13.92
1724080430, 68, 27.0, 13.92
1724080431, 68, 27.0, 13.92
1724080432, 69, 27.0, 21.97
1724080433, 70, 27.0, 21.97
1724080434, 70, 27.0, 21.97
1724080435, 71, 25.0, 21.97
1724080436, 71, 25.0, 21.97
1724080437, 71, 25.0, 21.93
1724080438, 71, 25.0, 21.93
1724080439, 71, 25.0, 21.93
1724080440, 72, 23.0, 21.93
1724080441, 72, 23.0, 21.93
1724080442, 72, 23.0, 21.93
1724080443, 72, 23.0, 21.91
1724080444, 68, 23.0, 21.91
1724080445, 68, 22.0, 21.91
1724080446, 69, 22.0, 21.91
1724080447, 68, 22.0, 21.91
1724080448, 69, 22.0, 21.91
1724080449, 69, 22.0, 21.91
1724080450, 68, 20.0, 21.85
1724080451, 68, 20.0, 21.85
1724080452, 67, 20.0, 21.85
1724080453, 68, 20.0, 21.85
1724080454, 68, 20.0, 21.81
1724080455, 69, NaN, 21.81
1724080456, 70, NaN, 21.81
1724080457, 79, NaN, 21.84
1724080458, 79, NaN, 21.84
1724080459, 85, NaN, 21.84
1724080460, 85, 24.0, 21.84
1724080461, 85, 24.0, 21.84
1724080462, 86, 24.0, 21.84
1724080463, 87, 24.0, 21.81
1724080464, 87, 24.0, 21.81
1724080465, 88, 32.0, 21.81
1724080466, 88, 32.0, 21.77
1724080467, 88, 32.0, 21.77
1724080468, 89, 32.0, 21.77
1724080469, 89, 32.0, 21.77
1724080470, 89, 36.0, 21.71
1724080471, 89, 36.0, 21.71
1724080472, 89, 36.0, 21.71
1724080473, 88, 36.0, 21.74
1724080474, 86, 36.0, 21.74
1724080475, 86, 41.0, 21.79
1724080476, 82, 41.0, 21.79
1724080477, 77, 41.0, 21.79
1724080478, 77, 41.0, 21.83
1724080479, 74, 41.0, 21.83
1724080480, 70, 44.0, 21.89
1724080481, 71, 44.0, 21.89
1724080482, 71, 44.0, 21.89
1724080483, 72, 44.0, 21.71
1724080484, 75, 44.0, 21.71
1724080485, 75, 39.0, 21.71
1724080486, 76, 39.0, 21.71
1724080487, 76, 39.0, 21.59
1724080488, 76, 39.0, 21.59
1724080489, 76, 39.0, 21.67
1724080490, 77, 33.0, 21.67
1724080491, 77, 33.0, 21.67
1724080492, 76, 33.0, 21.76
1724080493, 76, 33.0, 21.76
1724080494, 76, 33.0, 21.86
1724080495, 75, 26.0, 21.86
1724080496, 75, 26.0, 21.86
1724080497, 74, 26.0, 22.01
1724080498, 75, 26.0, 22.01
1724080499, 75, 26.0, 23.35
1724080500, 74, 27.0, 23.35
1724080501, 74, 27.0, 23.92
1724080502, 74, 27.0, 23.92
1724080503, 73, 27.0, 23.92
1724080504, 73, 27.0, 23.79
1724080505, 72, NaN, 23.79
1724080506, 72, NaN, 23.79
1724080507, 72, NaN, 23.69
1724080508, 72, NaN, 23.69
1724080509, 72, NaN, 23.69
1724080510, 72, NaN, 23.69
1724080511, 72, NaN, 23.61
1724080512, 72, NaN, 23.61
1724080513, 72, NaN, 23.59
1724080514, 72, NaN, 23.59
1724080515, 72, 30.0, 23.59
1724080516, 73, 30.0, 23.59
1724080517, 73, 30.0, 23.59
1724080518, 72, 30.0, 23.59
1724080519, 73, 30.0, 23.49
1724080520, 73, 30.0, 23.49
1724080521, 73, 30.0, 23.49
1724080522, 70, 30.0, 23.49
1724080523, 68, 30.0, 23.51
1724080524, 67, 30.0, 23.51
1724080525, 66, 30.0, 23.47
1724080526, 66, 30.0, 23.47
1724080527, 66, 30.0, 23.47
1724080528, 65, 30.0, 23.47
1724080529, 64, 30.0, 23.47
1724080530, 64, 22.0, 23.42
1724080531, 64, 22.0, 23.42
1724080532, 64, 22.0, 23.42
1724080533, 64, 22.0, 23.42
1724080534, 65, 22.0, 23.42
1724080535, 67, 20.0, 23.42
1724080536, 67, 20.0, 23.42
1724080537, 67, 20.0, 23.42
1724080538, 67, 20.0, 23.34
1724080539, 67, 20.0, 23.34
1724080540, 70, 19.0, 23.34
1724080541, 70, 19.0, 23.34
1724080542, 71, 19.0, 23.34
1724080543, 72, 19.0, 23.34
1724080544, 72, 19.0, 23.29
1724080545, 72, NaN, 23.29
1724080546, 75, NaN, 23.29
1724080547, 77, NaN, 23.29
1724080548, 77, NaN, 23.24
1724080549, 77, NaN, 23.24
1724080550, 77, 18.0, 23.24
1724080551, 76, 18.0, 23.23
1724080552, 75, 18.0, 23.23
1724080553, 73, 18.0, 23.23
1724080554, 73, 18.0, 23.23
1724080555, 74, NaN, 23.22
1724080556, 76, NaN, 23.22
1724080557, 76, NaN, 22.98
1724080558, 76, NaN, 22.98
1724080559, 77, NaN, 22.98
1724080560, 78, 20.0, 22.98
1724080561, 79, 20.0, 22.98
1724080562, 81, 20.0, 22.98
1724080563, 81, 20.0, 22.98
1724080564, 80, 20.0, 22.98
1724080565, 80, 24.0, 22.98
1724080566, 78, 24.0, 22.98
1724080567, 74, 24.0, 22.98
1724080568, 72, 24.0, 22.82
1724080569, 72, 24.0, 22.82
1724080570, 72, 32.0, 22.82
1724080571, 72, 32.0, 22.82
1724080572, 72, 32.0, 22.82
1724080573, 72, 32.0, 22.78
1724080574, 72, 32.0, 22.79
1724080575, 71, NaN, 22.79
1724080576, 71, NaN, 22.82
1724080577, 71, NaN, 22.82
1724080578, 71, NaN, 22.82
1724080579, 72, NaN, 22.82
1724080580, 72, NaN, 22.82
1724080581, 72, NaN, 22.82
1724080582, 72, NaN, 22.82
1724080583, 72, NaN, 22.82
1724080584, 72, NaN, 22.73
1724080585, 72, NaN, 22.78
1724080586, 69, NaN, 22.78
1724080587, 69, NaN, 22.78
1724080588, 67, NaN, 22.78
1724080589, 67, NaN, 22.78
1724080590, 66, NaN, 22.78
1724080591, 66, NaN, 22.78
1724080592, 66, NaN, 22.78
1724080593, 66, NaN, 22.78
1724080594, 70, NaN, 22.78
1724080595, 77, 22.0, 22.78
1724080596, 77, 22.0, 22.78
1724080597, 77, 22.0, 22.78
1724080598, 77, 22.0, 22.7
1724080599, 78, 22.0, 22.7
1724080600, 77, 20.0, 22.7
1724080601, 81, 20.0, 22.7
1724080602, 81, 20.0, 22.7
1724080603, 83, 20.0, 22.7
1724080604, 85, 20.0, 22.7
1724080605, 86, 23.0, 22.7
1724080606, 86, 23.0, 22.7
1724080607, 86, 23.0, 22.7
1724080608, 86, 23.0, 22.7
1724080609, 86, 23.0, 22.7
1724080610, 86, 30.0, 22.7
1724080611, 86, 30.0, 22.61
1724080612, 86, 30.0, 22.61
1724080613, 86, 30.0, 22.61
1724080614, 86, 30.0, 22.58
1724080615, 86, 30.0, 22.58
1724080616, 85, 30.0, 22.58
1724080617, 85, 30.0, 22.58
1724080618, 85, 30.0, 22.58
1724080619, 86, 30.0, 22.5
1724080620, 86, 31.0, 22.5
1724080621, 87, 31.0, 22.5
1724080622, 87, 31.0, 22.5
1724080623, 87, 31.0, 22.5
1724080624, 88, 31.0, 22.52
1724080625, 89, 41.0, 22.52
1724080626, 89, 41.0, 22.45
1724080627, 89, 41.0, 22.45
1724080628, 89, 41.0, 22.45
1724080629, 89, 41.0, 22.45
1724080630, 89, 46.0, 22.45
1724080631, 89, 46.0, 22.45
1724080632, 90, 46.0, 22.45
1724080633, 90, 46.0, 22.17
1724080634, 88, 46.0, 22.17
1724080635, 89, 50.0, 22.17
1724080636, 89, 50.0, 22.17
1724080637, 89, 50.0, 22.02
1724080638, 89, 50.0, 22.02
1724080639, 89, 50.0, 22.02
1724080640, 89, 48.0, 22.02
1724080641, 89, 48.0, 22.02
1724080642, 89, 48.0, 22.06
1724080643, 93, 48.0, 22.06
1724080644, 93, 48.0, 22.06
1724080645, 98, 54.0, 22.09
1724080646, 98, 54.0, 22.09
1724080647, 98, 54.0, 22.18
1724080648, 98, 54.0, 22.18
1724080649, 96, 54.0, 22.18
1724080650, 96, 60.0, 23.44
1724080651, 94, 60.0, 23.44
1724080652, 94, 60.0, 23.91
1724080653, 93, 60.0, 23.91
1724080654, 93, 60.0, 23.91
1724080655, 92, 64.0, 23.96
1724080656, 92, 64.0, 23.96
1724080657, 92, 64.0, 23.96
1724080658, 92, 64.0, 23.89
1724080659, 92, 64.0, 23.89
1724080660, 92, 67.0, 23.89
1724080661, 92, 67.0, 23.89
1724080662, 91, 67.0, 23.84
1724080663, 92, 67.0, 23.84
1724080664, 92, 67.0, 23.84
1724080665, 92, 70.0, 23.84
1724080666, 92, 70.0, 23.84
1724080667, 92, 70.0, 23.84
1724080668, 92, 70.0, 23.84
1724080669, 93, 70.0, 23.84
1724080670, 93, 74.0, 23.84
1724080671, 93, 74.0, 23.84
1724080672, 93, 74.0, 23.85
1724080673, 94, 74.0, 23.85
1724080674, 94, 74.0, 23.85
1724080675, 94, 76.0, 23.68
1724080676, 94, 76.0, 23.68
1724080677, 94, 76.0, 23.97
1724080678, 94, 76.0, 23.97
1724080679, 93, 76.0, 23.97
1724080680, 92, 77.0, 23.97
1724080681, 93, 77.0, 23.97
1724080682, 93, 77.0, 23.91
1724080683, 93, 77.0, 23.91
1724080684, 93, 77.0, 23.91
1724080685, 93, 77.0, 23.87
1724080686, 93, 77.0, 23.87
1724080687, 92, 77.0, 23.87
1724080688, 91, 77.0, 23.87
1724080689, 90, 77.0, 23.83
1724080690, 89, 76.0, 23.83
1724080691, 88, 76.0, 23.83
1724080692, 88, 76.0, 23.83
1724080693, 100, 76.0, 23.83
1724080694, 100, 76.0, 23.74
1724080695, 107, 78.0, 23.74
1724080696, 109, 78.0, 23.74
1724080697, 110, 78.0, 23.72
1724080698, 110, 78.0, 23.72
1724080699, 110, 78.0, 23.72
1724080700, 109, 80.0, 23.69
1724080701, 108, 80.0, 23.69
1724080702, 108, 80.0, 23.69
1724080703, 107, 80.0, 23.64
1724080704, 106, 80.0, 23.64
1724080705, 105, 82.0, 23.64
1724080706, 103, 82.0, 23.64
1724080707, 103, 82.0, 23.53
1724080708, 101, 82.0, 23.53
1724080709, 101, 82.0, 23.53
1724080710, 100, 85.0, 23.41
1724080711, 100, 85.0, 23.41
1724080712, 99, 85.0, 23.41
1724080713, 98, 85.0, 23.41
1724080714, 97, 85.0, 23.2
1724080715, 95, 86.0, 23.2
1724080716, 95, 86.0, 23.2
1724080717, 94, 86.0, 22.9
1724080718, 94, 86.0, 22.9
1724080719, 93, 86.0, 22.9
1724080720, 93, 87.0, 22.86
1724080721, 92, 87.0, 22.86
1724080722, 92, 87.0, 22.86
1724080723, 92, 87.0, 22.63
1724080724, 90, 87.0, 22.63
1724080725, 90, 85.0, 22.63
1724080726, 89, 85.0, 22.28
1724080727, 89, 85.0, 22.28
1724080728, 89, 85.0, 22.28
1724080729, 89, 85.0, 22.28
