Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723809005.0, 73, NaN, NaN
1723809009.0, 76, NaN, NaN
1723809012.0, 79, NaN, NaN
1723809014.0, 82, NaN, NaN
1723809018.0, 85, NaN, NaN
1723809026.0, 82, NaN, NaN
1723809031.0, 78, NaN, NaN
1723809036.0, 75, NaN, NaN
1723809051.0, 72, NaN, NaN
1723809063.0, 75, NaN, NaN
1723809068.0, 79, NaN, NaN
1723809076.0, 82, NaN, NaN
1723809083.0, 77, NaN, NaN
1723809087.0, 74, NaN, NaN
1723809090.0, 71, NaN, NaN
1723809091.0, 68, NaN, NaN
1723809129.0, 64, NaN, NaN
1723809138.0, 67, NaN, NaN
1723809141.0, 70, NaN, NaN
1723809142.0, 82, NaN, NaN
1723809143.0, 85, NaN, NaN
1723809170.0, 82, NaN, NaN
1723809171.0, 76, NaN, NaN
1723809172.0, 73, NaN, NaN
1723809187.0, 77, NaN, NaN
1723809196.0, 81, NaN, NaN
1723809212.0, 76, NaN, NaN
1723809214.0, 73, NaN, NaN
1723809259.0, 76, NaN, NaN
1723809262.0, 79, NaN, NaN
1723809266.0, 82, NaN, NaN
1723809300.0, 79, NaN, NaN
1723809307.0, 76, NaN, NaN
1723809318.0, 80, NaN, NaN
1723809321.0, 75, NaN, NaN
1723809323.0, 72, NaN, NaN
1723809329.0, 77, NaN, NaN
1723809330.0, 80, NaN, NaN
1723809338.0, 75, NaN, NaN
1723809350.0, 72, NaN, NaN
1723809352.0, 69, NaN, NaN
1723809357.0, 78, NaN, NaN
1723809360.0, 81, NaN, NaN
1723809373.0, 84, NaN, NaN
1723809387.0, 80, NaN, NaN
1723809388.0, 77, NaN, NaN
1723809403.0, 74, NaN, NaN
1723809405.0, 71, NaN, NaN
1723809417.0, 75, NaN, NaN
1723809418.0, 78, NaN, NaN
1723809419.0, 78, NaN, NaN
1723809435.0, 82, NaN, NaN
1723809453.0, 79, NaN, NaN
1723809471.0, 76, NaN, NaN
1723809474.0, 72, NaN, NaN
1723809478.0, 76, NaN, NaN
1723809486.0, 79, NaN, NaN
1723809488.0, 82, NaN, NaN
1723809494.0, 79, NaN, NaN
1723809502.0, 82, NaN, NaN
1723809518.0, 85, NaN, NaN
1723809525.0, 79, NaN, NaN
1723809526.0, 75, NaN, NaN
1723809527.0, 75, NaN, NaN
1723809559.0, 80, NaN, NaN
1723809565.0, 73, NaN, NaN
1723809566.0, 73, NaN, NaN
1723809570.0, 76, NaN, NaN
1723809586.0, 79, NaN, NaN
1723809601.0, 82, NaN, NaN
1723809609.0, 78, NaN, NaN
1723809632.0, 75, NaN, NaN
1723809637.0, 72, NaN, NaN
1723809644.0, 69, NaN, NaN
