Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723562220.0, 70, NaN, NaN
1723562255.0, 73, NaN, NaN
1723562261.0, 70, NaN, NaN
1723562265.0, 67, NaN, NaN
1723562279.0, 71, NaN, NaN
1723562314.0, 74, NaN, NaN
1723562319.0, 71, NaN, NaN
1723562321.0, 67, NaN, NaN
1723562335.0, 64, NaN, NaN
1723562343.0, 67, NaN, NaN
1723562403.0, 70, NaN, NaN
1723562415.0, 67, NaN, NaN
1723562433.0, 70, NaN, NaN
1723562438.0, 66, NaN, NaN
1723562478.0, 69, NaN, NaN
1723562483.0, 72, NaN, NaN
1723562487.0, 69, NaN, NaN
1723562488.0, 66, NaN, NaN
1723562524.0, 69, NaN, NaN
1723562597.0, 66, NaN, NaN
1723562637.0, 69, NaN, NaN
1723562658.0, 66, NaN, NaN
1723562669.0, 69, NaN, NaN
1723562759.0, 73, NaN, NaN
1723562763.0, 70, NaN, NaN
1723562784.0, 67, NaN, NaN
1723562903.0, 68, NaN, NaN
1723562933.0, 65, NaN, NaN
1723562946.0, 70, NaN, NaN
1723563103.0, 67, NaN, NaN
1723563149.0, 70, NaN, NaN
1723563160.0, 67, NaN, NaN
1723563167.0, 71, NaN, NaN
1723563224.0, 66, NaN, NaN
1723563232.0, 69, NaN, NaN
1723563235.0, 72, NaN, NaN
1723563260.0, 69, NaN, NaN
1723563289.0, 72, NaN, NaN
1723563310.0, 69, NaN, NaN
1723563317.0, 66, NaN, NaN
1723563338.0, 69, NaN, NaN
1723563349.0, 72, NaN, NaN
1723563350.0, 75, NaN, NaN
1723563370.0, 69, NaN, NaN
1723563373.0, 66, NaN, NaN
1723563395.0, 69, NaN, NaN
1723563461.0, 66, NaN, NaN
1723563521.0, 69, NaN, NaN
1723563543.0, 66, NaN, NaN
1723563549.0, 69, NaN, NaN
1723563554.0, 66, NaN, NaN
1723563566.0, 62, NaN, NaN
1723563573.0, 65, NaN, NaN
1723563575.0, 70, NaN, NaN
1723563576.0, 70, NaN, NaN
1723563648.0, 73, NaN, NaN
1723563656.0, 70, NaN, NaN
1723563673.0, 73, NaN, NaN
1723563680.0, 70, NaN, NaN
1723563736.0, 69, NaN, NaN
1723563742.0, 72, NaN, NaN
1723563761.0, 69, NaN, NaN
1723563871.0, 72, NaN, NaN
1723563878.0, 75, NaN, NaN
1723563899.0, 78, NaN, NaN
1723563927.0, 81, NaN, NaN
1723563929.0, 77, NaN, NaN
1723563930.0, 71, NaN, NaN
1723563958.0, 74, NaN, NaN
1723563975.0, 71, NaN, NaN
1723563981.0, 68, NaN, NaN
1723564007.0, 65, NaN, NaN
1723564030.0, 68, NaN, NaN
1723564066.0, 65, NaN, NaN
1723564090.0, 68, NaN, NaN
1723564107.0, 67, NaN, NaN
1723564133.0, 64, NaN, NaN
1723564135.0, 67, NaN, NaN
1723564195.0, 64, NaN, NaN
1723564200.0, 67, NaN, NaN
1723564204.0, 70, NaN, NaN
1723564231.0, 73, NaN, NaN
1723564236.0, 78, NaN, NaN
1723564238.0, 81, NaN, NaN
1723564243.0, 78, NaN, NaN
1723564251.0, 75, NaN, NaN
1723564256.0, 72, NaN, NaN
1723564286.0, 71, NaN, NaN
