Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724320793, 68, 21.0, NaN
1724320794, 67, 21.0, NaN
1724320795, 67, 21.0, NaN
1724320796, 66, 18.0, NaN
1724320797, 66, 18.0, NaN
1724320798, 66, 18.0, NaN
1724320799, 65, 18.0, NaN
1724320800, 65, 18.0, NaN
1724320801, 65, 13.0, NaN
1724320802, 65, 13.0, NaN
1724320803, 65, 13.0, NaN
1724320804, 64, 13.0, NaN
1724320805, 63, 13.0, 12.61
1724320806, 63, 7.0, 12.61
1724320807, 63, 7.0, 12.61
1724320808, 63, 7.0, 12.61
1724320809, 63, 7.0, 12.61
1724320810, 63, 7.0, 12.61
1724320811, 63, 9.0, 12.61
1724320812, 63, 9.0, 12.61
1724320813, 63, 9.0, 12.82
1724320814, 62, 9.0, 12.76
1724320815, 62, 9.0, 12.76
1724320816, 62, 7.0, 12.76
1724320817, 63, 7.0, 12.76
1724320818, 64, 7.0, 12.92
1724320819, 66, 7.0, 12.92
1724320820, 70, 7.0, 12.92
1724320821, 73, 10.0, 12.92
1724320822, 76, 10.0, 13.01
1724320823, 77, 10.0, 13.01
1724320824, 76, 10.0, 13.2
1724320825, 76, 10.0, 13.2
1724320826, 76, NaN, 13.2
1724320827, 76, NaN, 13.2
1724320828, 76, NaN, 13.2
1724320829, 76, NaN, 13.2
1724320830, 76, NaN, 13.2
1724320831, 76, NaN, 13.2
1724320832, 75, NaN, 13.2
1724320833, 75, NaN, 13.2
1724320834, 75, NaN, 13.2
1724320835, 74, NaN, 13.14
1724320836, 74, 12.0, 13.14
1724320837, 73, 12.0, 13.14
1724320838, 73, 12.0, 13.14
1724320839, 73, 12.0, 13.14
1724320840, 72, 12.0, 13.14
1724320841, 73, 13.0, 13.14
1724320842, 73, 13.0, 13.14
1724320843, 75, 13.0, 13.14
1724320844, 79, 13.0, 13.14
1724320845, 81, 13.0, 13.14
1724320846, 83, 15.0, 13.14
1724320847, 84, 15.0, 13.14
1724320848, 85, 15.0, 13.14
1724320849, 85, 15.0, 13.08
1724320850, 86, 15.0, 13.08
1724320851, 86, 21.0, 13.08
1724320852, 86, 21.0, 13.08
1724320853, 85, 21.0, 13.08
1724320854, 84, 21.0, 13.08
1724320855, 84, 21.0, 13.08
1724320856, 84, 24.0, 13.08
1724320857, 84, 24.0, 13.08
1724320858, 84, 24.0, 13.03
1724320859, 83, 24.0, 13.03
1724320860, 83, 24.0, 13.03
1724320861, 83, 28.0, 13.03
1724320862, 84, 28.0, 13.03
1724320863, 85, 28.0, 13.03
1724320864, 86, 28.0, 13.0
1724320865, 86, 28.0, 13.0
1724320866, 87, 38.0, 13.0
1724320867, 87, 38.0, 12.85
1724320868, 87, 38.0, 12.85
1724320869, 87, 38.0, 12.85
1724320870, 87, 38.0, 12.85
1724320871, 86, 48.0, 12.85
1724320872, 86, 48.0, 12.85
1724320873, 86, 48.0, 12.85
1724320874, 86, 48.0, 12.85
1724320875, 86, 48.0, 12.85
1724320876, 86, 58.0, 12.85
1724320877, 86, 58.0, 12.38
1724320878, 86, 58.0, 12.55
1724320879, 86, 58.0, 12.55
1724320880, 86, 58.0, 12.55
1724320881, 85, 64.0, 12.67
1724320882, 83, 64.0, 12.67
1724320883, 83, 64.0, 12.67
1724320884, 83, 64.0, 12.67
1724320885, 84, 64.0, 12.67
1724320886, 85, 64.0, 12.67
1724320887, 85, 64.0, 12.67
1724320888, 85, 64.0, 12.67
1724320889, 85, 64.0, 12.6
1724320890, 85, 64.0, 12.6
1724320891, 85, 65.0, 12.6
1724320892, 85, 65.0, 12.6
1724320893, 85, 65.0, 12.6
1724320894, 85, 65.0, 12.57
1724320895, 86, 65.0, 12.57
1724320896, 86, 65.0, 12.57
1724320897, 86, 65.0, 12.57
1724320898, 86, 65.0, 12.57
1724320899, 86, 65.0, 12.57
1724320900, 86, 65.0, 12.57
1724320901, 86, 65.0, 12.57
1724320902, 86, 65.0, 12.57
1724320903, 86, 65.0, 12.61
1724320904, 86, 65.0, 12.61
1724320905, 86, 65.0, 12.61
1724320906, 86, 65.0, 12.61
1724320907, 86, 65.0, 12.61
1724320908, 86, 65.0, 12.61
1724320909, 86, 65.0, 12.61
1724320910, 85, 65.0, 12.61
1724320911, 84, 65.0, 12.61
1724320912, 84, 65.0, 12.11
1724320913, 84, 65.0, 12.11
1724320914, 83, 65.0, 12.32
1724320915, 83, 65.0, 12.32
1724320916, 83, 63.0, 12.45
1724320917, 83, 63.0, 12.45
1724320918, 83, 63.0, 12.45
1724320919, 83, 63.0, 12.45
1724320920, 83, 63.0, 12.45
1724320921, 83, 62.0, 12.45
1724320922, 82, 62.0, 12.47
1724320923, 82, 62.0, 12.47
1724320924, 82, 62.0, 12.47
1724320925, 82, 62.0, 12.47
1724320926, 82, 59.0, 12.46
1724320927, 82, 59.0, 12.46
1724320928, 82, 59.0, 12.64
1724320929, 82, 59.0, 12.64
1724320930, 82, 59.0, 12.64
1724320931, 83, 57.0, 12.64
1724320932, 83, 57.0, 12.64
1724320933, 83, 57.0, 12.64
1724320934, 83, 57.0, 12.64
1724320935, 83, 57.0, 12.64
1724320936, 83, 54.0, 12.58
1724320937, 82, 54.0, 12.58
1724320938, 81, 54.0, 12.58
1724320939, 79, 54.0, 12.6
1724320940, 78, 54.0, 12.6
1724320941, 78, 50.0, 12.6
1724320942, 78, 50.0, 12.81
1724320943, 78, 50.0, 12.81
1724320944, 78, 50.0, 12.81
1724320945, 78, 50.0, 13.01
1724320946, 79, 46.0, 13.01
1724320947, 80, 46.0, 13.01
1724320948, 80, 46.0, 13.01
1724320949, 80, 46.0, 13.01
1724320950, 80, 46.0, 13.15
1724320951, 80, 44.0, 13.15
1724320952, 80, 44.0, 13.15
1724320953, 80, 44.0, 13.15
1724320954, 80, 44.0, 13.15
1724320955, 80, 44.0, 13.15
1724320956, 80, 42.0, 13.15
1724320957, 81, 42.0, 13.15
1724320958, 81, 42.0, 13.15
1724320959, 83, 42.0, 13.15
1724320960, 84, 42.0, 13.15
1724320961, 85, 40.0, 13.15
1724320962, 85, 40.0, 13.03
1724320963, 84, 40.0, 13.03
1724320964, 85, 40.0, 13.03
1724320965, 85, 40.0, 13.03
1724320966, 85, 43.0, 13.03
1724320967, 86, 43.0, 13.03
1724320968, 85, 43.0, 13.03
1724320969, 86, 43.0, 13.03
1724320970, 86, 43.0, 13.03
1724320971, 86, 47.0, 12.93
1724320972, 86, 47.0, 12.93
