Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724317834, 77, 72.0, 16.37
1724317835, 77, 72.0, 16.37
1724317836, 77, NaN, 16.37
1724317837, 78, NaN, 16.37
1724317838, 79, NaN, 16.37
1724317839, 81, NaN, 16.37
1724317840, 82, NaN, 16.36
1724317841, 84, 61.0, 16.36
1724317842, 85, 61.0, 16.36
1724317843, 86, 61.0, 16.41
1724317844, 86, 61.0, 16.41
1724317845, 86, 61.0, 16.41
1724317846, 87, 58.0, 16.41
1724317847, 87, 58.0, 16.41
1724317848, 87, 58.0, 16.17
1724317849, 87, 58.0, 16.17
1724317850, 88, 57.0, 16.17
1724317851, 88, 57.0, 16.41
1724317852, 87, 57.0, 16.41
1724317853, 87, 57.0, 16.41
1724317854, 86, 57.0, 16.41
1724317855, 86, 57.0, 16.38
1724317856, 86, 57.0, 16.38
1724317857, 85, 57.0, 16.38
1724317858, 85, 57.0, 16.6
1724317859, 86, 57.0, 16.6
1724317860, 86, 57.0, 16.76
1724317861, 87, 57.0, 16.76
1724317862, 89, 57.0, 16.76
1724317863, 93, 57.0, 16.76
1724317864, 96, 57.0, 16.81
1724317865, 97, 57.0, 16.81
1724317866, 99, 58.0, 17.09
1724317867, 99, 58.0, 17.09
1724317868, 99, 58.0, 17.09
1724317869, 99, 58.0, 17.09
1724317870, 99, 58.0, 17.3
1724317871, 99, 66.0, 17.3
1724317872, 99, 66.0, 17.78
1724317873, 99, 66.0, 17.78
1724317874, 99, 66.0, 17.78
1724317875, 99, 66.0, 18.19
1724317876, 99, 69.0, 18.19
1724317877, 99, 69.0, 18.83
1724317878, 99, 69.0, 18.83
1724317879, 99, 69.0, 18.83
1724317880, 99, 69.0, 18.83
1724317881, 99, 70.0, 18.75
1724317882, 98, 70.0, 18.75
1724317883, 98, 70.0, 18.75
1724317884, 97, 70.0, 18.75
1724317885, 97, 70.0, 18.75
1724317886, 97, 75.0, 18.75
1724317887, 96, 75.0, 18.64
1724317888, 96, 75.0, 18.64
1724317889, 96, 75.0, 18.64
1724317890, 95, 75.0, 18.64
1724317891, 95, 77.0, 18.61
1724317892, 96, 77.0, 18.61
1724317893, 96, 77.0, 18.61
1724317894, 96, 77.0, 18.61
1724317895, 95, 77.0, 18.55
1724317896, 94, 78.0, 18.55
1724317897, 92, 78.0, 18.66
1724317898, 91, 78.0, 18.66
1724317899, 91, 78.0, 18.73
1724317900, 91, 78.0, 18.73
1724317901, 92, 77.0, 18.73
1724317902, 92, 77.0, 18.73
1724317903, 93, 77.0, 18.73
1724317904, 93, 77.0, 18.6
1724317905, 92, 77.0, 18.6
