Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723044401.0, 81, NaN, NaN
1723044402.0, 81, NaN, NaN
1723044412.0, 84, NaN, NaN
1723044417.0, 79, NaN, NaN
1723044420.0, 76, NaN, NaN
1723044442.0, 79, NaN, NaN
1723044504.0, 75, NaN, NaN
1723044516.0, 79, NaN, NaN
1723044535.0, 82, NaN, NaN
1723044544.0, 79, NaN, NaN
1723044551.0, 82, NaN, NaN
1723044555.0, 85, NaN, NaN
1723044569.0, 82, NaN, NaN
1723044572.0, 79, NaN, NaN
1723044591.0, 82, NaN, NaN
1723044597.0, 78, NaN, NaN
1723044612.0, 81, NaN, NaN
1723044650.0, 81, NaN, NaN
1723044658.0, 78, NaN, NaN
1723044667.0, 81, NaN, NaN
1723044691.0, 78, NaN, NaN
1723044722.0, 81, NaN, NaN
1723044724.0, 84, NaN, NaN
1723044738.0, 81, NaN, NaN
1723044754.0, 85, NaN, NaN
1723044756.0, 88, NaN, NaN
1723044766.0, 82, NaN, NaN
1723044794.0, 86, NaN, NaN
1723044825.0, 83, NaN, NaN
1723044853.0, 86, NaN, NaN
1723044856.0, 89, NaN, NaN
1723044869.0, 86, NaN, NaN
1723044882.0, 83, NaN, NaN
1723044939.0, 80, NaN, NaN
1723044959.0, 83, NaN, NaN
1723044982.0, 77, NaN, NaN
1723044987.0, 82, NaN, NaN
1723045002.0, 85, NaN, NaN
1723045022.0, 82, NaN, NaN
1723045024.0, 79, NaN, NaN
1723045036.0, 82, NaN, NaN
1723045053.0, 85, NaN, NaN
1723045103.0, 81, NaN, NaN
1723045111.0, 84, NaN, NaN
1723045120.0, 81, NaN, NaN
1723045145.0, 78, NaN, NaN
1723045155.0, 81, NaN, NaN
1723045165.0, 78, NaN, NaN
1723045172.0, 75, NaN, NaN
1723045181.0, 78, NaN, NaN
1723045208.0, 75, NaN, NaN
1723045228.0, 78, NaN, NaN
1723045233.0, 81, NaN, NaN
1723045249.0, 84, NaN, NaN
1723045257.0, 81, NaN, NaN
1723045259.0, 76, NaN, NaN
1723045284.0, 79, NaN, NaN
1723045293.0, 82, NaN, NaN
1723045314.0, 80, NaN, NaN
1723045347.0, 83, NaN, NaN
1723045354.0, 80, NaN, NaN
1723045357.0, 77, NaN, NaN
1723045374.0, 80, NaN, NaN
1723045386.0, 75, NaN, NaN
1723045387.0, 72, NaN, NaN
1723045402.0, 75, NaN, NaN
1723045410.0, 78, NaN, NaN
1723045427.0, 81, NaN, NaN
1723045452.0, 78, NaN, NaN
1723045460.0, 81, NaN, NaN
1723045481.0, 78, NaN, NaN
1723045484.0, 75, NaN, NaN
1723045505.0, 78, NaN, NaN
1723045510.0, 82, NaN, NaN
1723045517.0, 79, NaN, NaN
1723045543.0, 76, NaN, NaN
1723045564.0, 79, NaN, NaN
1723045602.0, 82, NaN, NaN
1723045604.0, 85, NaN, NaN
1723045611.0, 81, NaN, NaN
1723045614.0, 78, NaN, NaN
1723045623.0, 82, NaN, NaN
1723045629.0, 85, NaN, NaN
1723045636.0, 82, NaN, NaN
1723045670.0, 86, NaN, NaN
1723045681.0, 82, NaN, NaN
1723045682.0, 78, NaN, NaN
1723045683.0, 79, NaN, NaN
1723045685.0, 82, NaN, NaN
1723045690.0, 79, NaN, NaN
1723045724.0, 82, NaN, NaN
1723045736.0, 85, NaN, NaN
1723045740.0, 82, NaN, NaN
1723045775.0, 78, NaN, NaN
1723045788.0, 81, NaN, NaN
1723045790.0, 84, NaN, NaN
1723045798.0, 80, NaN, NaN
1723045801.0, 77, NaN, NaN
1723045820.0, 80, NaN, NaN
1723045822.0, 83, NaN, NaN
1723045840.0, 86, NaN, NaN
1723045847.0, 83, NaN, NaN
1723045849.0, 78, NaN, NaN
1723045870.0, 81, NaN, NaN
1723045887.0, 84, NaN, NaN
1723045910.0, 87, NaN, NaN
1723045926.0, 81, NaN, NaN
1723045928.0, 78, NaN, NaN
1723045935.0, 81, NaN, NaN
1723045968.0, 77, NaN, NaN
1723045971.0, 82, NaN, NaN
1723045982.0, 85, NaN, NaN
1723046002.0, 81, NaN, NaN
1723046003.0, 78, NaN, NaN
1723046004.0, 78, NaN, NaN
1723046008.0, 81, NaN, NaN
1723046046.0, 84, NaN, NaN
1723046079.0, 87, NaN, NaN
1723046097.0, 83, NaN, NaN
1723046105.0, 80, NaN, NaN
1723046109.0, 83, NaN, NaN
1723046110.0, 86, NaN, NaN
1723046112.0, 89, NaN, NaN
1723046126.0, 86, NaN, NaN
1723046127.0, 89, NaN, NaN
1723046135.0, 92, NaN, NaN
1723046152.0, 86, NaN, NaN
1723046159.0, 83, NaN, NaN
1723046164.0, 80, NaN, NaN
1723046206.0, 77, NaN, NaN
1723046214.0, 74, NaN, NaN
1723046237.0, 77, NaN, NaN
1723046243.0, 80, NaN, NaN
1723046251.0, 76, NaN, NaN
1723046320.0, 79, NaN, NaN
1723046324.0, 82, NaN, NaN
1723046334.0, 85, NaN, NaN
1723046336.0, 82, NaN, NaN
1723046341.0, 78, NaN, NaN
1723046349.0, 75, NaN, NaN
1723046370.0, 78, NaN, NaN
1723046428.0, 75, NaN, NaN
1723046443.0, 78, NaN, NaN
1723046466.0, 81, NaN, NaN
1723046477.0, 78, NaN, NaN
1723046498.0, 81, NaN, NaN
1723046501.0, 85, NaN, NaN
1723046522.0, 79, NaN, NaN
1723046549.0, 76, NaN, NaN
1723046555.0, 79, NaN, NaN
1723046559.0, 82, NaN, NaN
1723046580.0, 85, NaN, NaN
1723046586.0, 82, NaN, NaN
1723046594.0, 79, NaN, NaN
1723046595.0, 76, NaN, NaN
1723046602.0, 83, NaN, NaN
1723046611.0, 80, NaN, NaN
1723046618.0, 83, NaN, NaN
1723046628.0, 80, NaN, NaN
1723046658.0, 84, NaN, NaN
1723046666.0, 81, NaN, NaN
1723046669.0, 84, NaN, NaN
1723046707.0, 81, NaN, NaN
1723046727.0, 78, NaN, NaN
1723046730.0, 81, NaN, NaN
1723046743.0, 80, NaN, NaN
1723046764.0, 84, NaN, NaN
1723046779.0, 79, NaN, NaN
1723046780.0, 79, NaN, NaN
1723046828.0, 82, NaN, NaN
1723046829.0, 86, NaN, NaN
1723046835.0, 82, NaN, NaN
1723046837.0, 79, NaN, NaN
1723046856.0, 76, NaN, NaN
1723046884.0, 81, NaN, NaN
1723046885.0, 81, NaN, NaN
1723046899.0, 76, NaN, NaN
1723046901.0, 73, NaN, NaN
1723046905.0, 76, NaN, NaN
1723046913.0, 79, NaN, NaN
1723046939.0, 81, NaN, NaN
1723046941.0, 82, NaN, NaN
1723046943.0, 82, NaN, NaN
