Timestamp	HR	SDNN	RMSSD
1723562220.0	70	N/A	N/A
1723562255.0	73	N/A	N/A
1723562261.0	70	14.5000	29.0000
1723562265.0	67	14.1657	20.5548
1723562279.0	71	12.2755	17.7482
1723562314.0	74	13.6440	18.6145
1723562319.0	71	13.4753	21.3822
1723562321.0	67	13.4680	19.5576
1723562335.0	64	12.5990	18.6662
1723562343.0	67	12.0462	17.5891
1723562403.0	70	17.9947	23.9884
1723562415.0	67	17.2526	27.3551
1723562433.0	70	16.5183	26.1447
1723562438.0	66	16.2299	25.3114
1723562478.0	69	16.7448	26.1843
1723562483.0	72	16.5202	26.9099
1723562487.0	69	16.3276	25.9987
1723562488.0	66	16.2645	25.1843
1723562524.0	69	16.4718	25.8650
1723562597.0	66	20.3477	26.6062
1723562637.0	69	20.3132	26.9805
1723562658.0	66	19.8237	26.6383
1723562669.0	69	19.4765	26.0878
1723562759.0	73	23.7539	30.5503
1723562763.0	70	23.5758	34.8469
1723562784.0	67	23.1017	34.2892
1723562903.0	68	29.2766	38.8958
1723562933.0	65	28.7380	41.9446
1723562946.0	70	28.3296	41.2903
1723563103.0	67	36.6997	48.8321
1723563149.0	70	36.1907	52.2227
1723563160.0	67	35.7765	51.7410
1723563167.0	71	35.4461	50.9047
1723563224.0	66	35.2197	50.8767
1723563232.0	69	34.9041	50.8208
1723563235.0	72	34.6896	50.0752
1723563260.0	69	34.2108	49.4946
1723563289.0	72	33.7453	48.8069
1723563310.0	69	33.3223	48.1608
1723563317.0	66	33.0704	47.5771
1723563338.0	69	32.6733	47.0166
1723563349.0	72	32.3782	46.4521
1723563350.0	75	32.2452	45.9087
1723563370.0	69	31.8850	45.4535
1723563373.0	66	31.7186	44.9966
1723563395.0	69	31.3703	44.5745
1723563461.0	66	31.5681	44.5618
1723563521.0	69	31.5919	44.0837
1723563543.0	66	31.2716	43.9630
1723563549.0	69	31.1006	43.5639
1723563554.0	66	30.9435	43.1173
1723563566.0	62	30.7061	42.6954
1723563573.0	65	30.5258	42.2806
1723563575.0	70	30.4126	41.8778
1723563576.0	70	30.3111	41.4811
1723563648.0	73	30.6807	42.2157
1723563656.0	70	30.4985	42.7111
1723563673.0	73	30.2511	42.3451
1723563680.0	70	30.0856	41.9929
1723563736.0	69	30.0938	42.1236
1723563742.0	72	29.9483	42.2693
1723563761.0	69	29.7128	41.9492
1723563871.0	72	31.3457	43.2046
1723563878.0	75	31.1926	44.8068
1723563899.0	78	30.9550	44.4847
1723563927.0	81	30.7167	44.1445
1723563929.0	77	30.6268	43.9221
1723563930.0	71	30.5469	43.5883
1723563958.0	74	30.3230	43.3874
1723563975.0	71	30.1198	43.0878
1723563981.0	68	29.9927	42.7949
1723564007.0	65	29.7809	42.5553
1723564030.0	68	29.5744	42.2561
1723564066.0	65	29.3983	41.9896
1723564090.0	68	29.1994	41.7246
1723564107.0	67	29.0196	41.4497
1723564133.0	64	28.8282	41.1856
1723564135.0	67	28.7602	41.0063
1723564195.0	64	28.8473	41.2718
1723564200.0	67	28.7540	41.4766
1723564204.0	70	28.6694	41.2134
1723564231.0	73	28.4929	41.0357
1723564236.0	78	28.4021	40.8548
1723564238.0	81	28.3379	40.6062
1723564243.0	78	28.2465	40.3622
1723564251.0	75	28.1333	40.1226
1723564256.0	72	28.0425	39.8872
1723564286.0	71	27.8890	39.7461
