Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724326292, 82, 16.0, NaN
1724326293, 82, 16.0, NaN
1724326294, 82, 16.0, NaN
1724326295, 82, 19.0, NaN
1724326296, 83, 19.0, NaN
1724326297, 83, 19.0, NaN
1724326298, 82, 19.0, NaN
1724326299, 81, 19.0, NaN
1724326300, 81, 27.0, NaN
1724326301, 81, 27.0, NaN
1724326302, 80, 27.0, NaN
1724326303, 80, 27.0, 11.97
1724326304, 79, 27.0, 11.97
1724326305, 78, 48.0, 11.97
1724326306, 78, 48.0, 11.97
1724326307, 78, 48.0, 11.97
1724326308, 76, 48.0, 11.99
1724326309, 64, 48.0, 11.99
1724326310, 61, 45.0, 11.99
1724326311, 61, 45.0, 11.99
1724326312, 63, 45.0, 11.99
1724326313, 65, 45.0, 11.99
1724326314, 67, 45.0, 11.99
1724326315, 70, 30.0, 11.99
1724326316, 70, 30.0, 11.99
1724326317, 71, 30.0, 11.97
1724326318, 71, 30.0, 11.97
1724326319, 71, 30.0, 12.0
1724326320, 70, 22.0, 12.0
1724326321, 70, 22.0, 12.0
1724326322, 70, 22.0, 12.0
1724326323, 70, 22.0, 12.0
1724326324, 70, 22.0, 12.0
1724326325, 70, 18.0, 12.0
1724326326, 70, 18.0, 12.0
1724326327, 70, 18.0, 12.0
1724326328, 71, 18.0, 12.0
1724326329, 71, 18.0, 12.01
1724326330, 71, 13.0, 12.01
1724326331, 71, 13.0, 12.01
1724326332, 72, 13.0, 12.01
1724326333, 72, 13.0, 12.01
1724326334, 71, 13.0, 12.01
1724326335, 71, NaN, 11.93
1724326336, 70, NaN, 11.93
1724326337, 70, NaN, 11.93
1724326338, 69, NaN, 11.93
1724326339, 69, NaN, 12.13
1724326340, 68, 6.0, 12.13
1724326341, 68, 6.0, 12.13
1724326342, 68, 6.0, 12.27
1724326343, 68, 6.0, 12.27
1724326344, 68, 6.0, 12.27
1724326345, 68, 6.0, 12.38
1724326346, 68, 6.0, 12.38
1724326347, 68, 6.0, 12.38
1724326348, 70, 6.0, 12.48
1724326349, 71, 6.0, 12.48
1724326350, 72, 10.0, 12.48
1724326351, 73, 10.0, 12.82
1724326352, 75, 10.0, 12.82
1724326353, 76, 10.0, 12.82
1724326354, 77, 10.0, 17.84
1724326355, 78, NaN, 17.84
1724326356, 78, NaN, 18.03
1724326357, 79, NaN, 18.03
1724326358, 80, NaN, 18.03
1724326359, 80, NaN, 18.03
1724326360, 80, 18.0, 17.98
1724326361, 81, 18.0, 17.98
1724326362, 81, 18.0, 17.98
1724326363, 81, 18.0, 18.04
1724326364, 80, 18.0, 18.04
1724326365, 80, 20.0, 18.04
1724326366, 79, 20.0, 18.22
1724326367, 79, 20.0, 18.22
1724326368, 79, 20.0, 18.22
1724326369, 78, 20.0, 18.36
1724326370, 77, 23.0, 18.36
1724326371, 78, 23.0, 18.51
1724326372, 78, 23.0, 18.51
1724326373, 78, 23.0, 18.51
1724326374, 79, 23.0, 18.91
1724326375, 80, 29.0, 18.91
1724326376, 80, 29.0, 18.91
1724326377, 81, 29.0, 20.71
1724326378, 81, 29.0, 20.71
1724326379, 81, 29.0, 20.71
1724326380, 81, 36.0, 20.62
1724326381, 80, 36.0, 20.62
1724326382, 80, 36.0, 20.62
1724326383, 80, 36.0, 20.74
1724326384, 80, 36.0, 20.74
1724326385, 80, 36.0, 20.84
1724326386, 80, 36.0, 20.84
1724326387, 80, 36.0, 20.84
1724326388, 80, 36.0, 20.81
1724326389, 80, 36.0, 20.81
1724326390, 80, 37.0, 20.81
1724326391, 80, 37.0, 20.85
1724326392, 80, 37.0, 20.85
1724326393, 80, 37.0, 20.92
1724326394, 80, 37.0, 20.92
1724326395, 80, 37.0, 20.92
1724326396, 80, 37.0, 20.92
1724326397, 80, 37.0, 20.86
1724326398, 80, 37.0, 20.86
1724326399, 80, 37.0, 20.86
1724326400, 80, 39.0, 20.75
1724326401, 80, 39.0, 20.75
1724326402, 81, 39.0, 20.75
1724326403, 83, 39.0, 20.75
1724326404, 86, 39.0, 20.75
1724326405, 85, 42.0, 20.66
1724326406, 83, 42.0, 20.66
1724326407, 83, 42.0, 20.66
1724326408, 81, 42.0, 20.54
1724326409, 81, 42.0, 20.54
1724326410, 81, 45.0, 20.54
1724326411, 82, 45.0, 20.54
1724326412, 82, 45.0, 19.56
1724326413, 83, 45.0, 19.56
1724326414, 84, 45.0, 19.56
1724326415, 85, 48.0, 19.56
1724326416, 85, 48.0, 19.56
1724326417, 85, 48.0, 18.88
1724326418, 85, 48.0, 18.88
1724326419, 85, 48.0, 18.88
1724326420, 81, 49.0, 18.88
1724326421, 77, 49.0, 18.88
1724326422, 76, 49.0, 18.88
1724326423, 75, 49.0, 18.88
1724326424, 75, 49.0, 18.69
1724326425, 74, NaN, 18.69
1724326426, 74, NaN, 18.69
1724326427, 74, NaN, 18.69
1724326428, 75, NaN, 18.6
1724326429, 75, NaN, 18.6
1724326430, 76, NaN, 18.65
1724326431, 76, NaN, 18.65
1724326432, 76, NaN, 18.65
1724326433, 77, NaN, 18.75
1724326434, 77, NaN, 18.75
