Timestamp, HR(bpm), HRV(ms), Resp(brpm)
1723819056.0, 62, NaN, NaN
1723819057.0, 62, NaN, NaN
1723819061.0, 65, NaN, NaN
1723819063.0, 68, NaN, NaN
1723819071.0, 65, NaN, NaN
1723819080.0, 68, NaN, NaN
1723819083.0, 71, NaN, NaN
1723819088.0, 67, NaN, NaN
1723819090.0, 64, NaN, NaN
1723819110.0, 67, NaN, NaN
1723819120.0, 70, NaN, NaN
1723819137.0, 67, NaN, NaN
1723819151.0, 70, NaN, NaN
1723819157.0, 73, NaN, NaN
1723819161.0, 70, NaN, NaN
1723819164.0, 66, NaN, NaN
1723819166.0, 63, NaN, NaN
1723819177.0, 66, NaN, NaN
1723819182.0, 69, NaN, NaN
1723819208.0, 66, NaN, NaN
1723819228.0, 70, NaN, NaN
1723819230.0, 73, NaN, NaN
1723819234.0, 76, NaN, NaN
1723819242.0, 73, NaN, NaN
1723819250.0, 70, NaN, NaN
1723819265.0, 67, NaN, NaN
1723819295.0, 70, NaN, NaN
1723819297.0, 73, NaN, NaN
1723819304.0, 70, NaN, NaN
1723819319.0, 66, NaN, NaN
1723819351.0, 71, NaN, NaN
1723819353.0, 74, NaN, NaN
1723819365.0, 77, NaN, NaN
1723819373.0, 80, NaN, NaN
1723819395.0, 83, NaN, NaN
1723819397.0, 87, NaN, NaN
1723819410.0, 79, NaN, NaN
1723819411.0, 72, NaN, NaN
1723819412.0, 69, NaN, NaN
1723819414.0, 66, NaN, NaN
1723819422.0, 70, NaN, NaN
1723819424.0, 73, NaN, NaN
1723819432.0, 70, NaN, NaN
1723819435.0, 67, NaN, NaN
1723819472.0, 70, NaN, NaN
1723819570.0, 73, NaN, NaN
1723819580.0, 70, NaN, NaN
1723819586.0, 73, NaN, NaN
1723819590.0, 76, NaN, NaN
1723819598.0, 73, NaN, NaN
1723819603.0, 70, NaN, NaN
1723819643.0, 73, NaN, NaN
1723819650.0, 70, NaN, NaN
1723819661.0, 73, NaN, NaN
1723819665.0, 69, NaN, NaN
1723819668.0, 66, NaN, NaN
1723819681.0, 62, NaN, NaN
1723819684.0, 59, NaN, NaN
1723819692.0, 62, NaN, NaN
1723819696.0, 65, NaN, NaN
1723819709.0, 68, NaN, NaN
1723819714.0, 71, NaN, NaN
1723819719.0, 76, NaN, NaN
1723819737.0, 73, NaN, NaN
1723819740.0, 69, NaN, NaN
1723819749.0, 72, NaN, NaN
1723819773.0, 75, NaN, NaN
1723819784.0, 72, NaN, NaN
1723819808.0, 74, NaN, NaN
1723819814.0, 71, NaN, NaN
1723819820.0, 68, NaN, NaN
1723819831.0, 65, NaN, NaN
1723819843.0, 69, NaN, NaN
1723819857.0, 73, NaN, NaN
1723819872.0, 76, NaN, NaN
1723819898.0, 73, NaN, NaN
1723819916.0, 70, NaN, NaN
1723819933.0, 73, NaN, NaN
1723819947.0, 76, NaN, NaN
1723819950.0, 71, NaN, NaN
1723819971.0, 74, NaN, NaN
1723819979.0, 78, NaN, NaN
1723819985.0, 75, NaN, NaN
1723819987.0, 71, NaN, NaN
1723820079.0, 74, NaN, NaN
1723820105.0, 71, NaN, NaN
1723820108.0, 67, NaN, NaN
1723820116.0, 70, NaN, NaN
1723820127.0, 74, NaN, NaN
1723820132.0, 71, NaN, NaN
1723820139.0, 76, NaN, NaN
1723820146.0, 73, NaN, NaN
1723820148.0, 70, NaN, NaN
1723820153.0, 73, NaN, NaN
1723820178.0, 76, NaN, NaN
1723820180.0, 79, NaN, NaN
1723820185.0, 76, NaN, NaN
1723820195.0, 73, NaN, NaN
