AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723037238.1316972,1723037339.171854,290,809.0689655172414,290,395.72758620689655
Inbox and Folders,1723037238.0282974,1723037238.107873,11,355.3636363636364,11,354.1818181818182
Main Content,1723037241.0394495,1723037339.1628182,1386,750.975468975469,1386,528.9069264069265
Other,1723037238.1155999,1723037340.1997173,43,700.1627906976744,43,184.95348837209303
Sender Email,1723037339.1801734,1723037339.1801734,1,649.0,1,289.0
