type,x,y,timestamp,button,pressed,dx,dy
move,988,575,1723036308.775564,,,,
move,998,566,1723036308.787558,,,,
move,1009,555,1723036308.7944424,,,,
move,1022,538,1723036308.8114636,,,,
move,1037,518,1723036308.8184218,,,,
move,1052,498,1723036308.8264198,,,,
move,1060,487,1723036308.8349326,,,,
move,1072,470,1723036308.8429475,,,,
move,1090,443,1723036308.8512514,,,,
move,1109,415,1723036308.8589723,,,,
move,1128,388,1723036308.866937,,,,
move,1145,361,1723036308.874943,,,,
move,1159,337,1723036308.8829336,,,,
move,1172,314,1723036308.8909342,,,,
move,1182,295,1723036308.8989344,,,,
move,1189,280,1723036308.9072015,,,,
move,1197,265,1723036308.914248,,,,
move,1204,253,1723036308.9225745,,,,
move,1211,243,1723036308.9306278,,,,
move,1221,232,1723036308.938625,,,,
move,1232,220,1723036308.9472845,,,,
move,1245,207,1723036308.95482,,,,
move,1260,191,1723036308.9631224,,,,
move,1279,171,1723036308.9708264,,,,
move,1299,148,1723036308.9788597,,,,
move,1319,127,1723036308.9868598,,,,
move,1340,106,1723036308.9948218,,,,
move,1358,90,1723036309.0030756,,,,
move,1375,76,1723036309.010819,,,,
move,1385,68,1723036309.0303032,,,,
move,1395,61,1723036309.0313046,,,,
move,1405,55,1723036309.0343037,,,,
move,1416,47,1723036309.0423026,,,,
move,1426,40,1723036309.050302,,,,
move,1435,34,1723036309.0583384,,,,
move,1442,27,1723036309.0669363,,,,
move,1449,22,1723036309.0748966,,,,
move,1451,20,1723036309.0828974,,,,
move,1453,17,1723036309.0908988,,,,
move,1455,16,1723036309.098939,,,,
move,1457,15,1723036309.1072216,,,,
move,1457,14,1723036309.1152396,,,,
move,1458,14,1723036309.12294,,,,
move,1459,13,1723036309.1313305,,,,
move,1459,13,1723036309.1393085,,,,
move,1461,13,1723036309.1473753,,,,
move,1462,13,1723036309.1542978,,,,
move,1467,13,1723036309.1631873,,,,
move,1470,13,1723036309.1711946,,,,
move,1475,16,1723036309.1792028,,,,
move,1478,17,1723036309.1869066,,,,
move,1484,19,1723036309.1949148,,,,
move,1491,22,1723036309.2029068,,,,
move,1501,25,1723036309.2109065,,,,
move,1506,25,1723036309.218816,,,,
move,1507,25,1723036309.2271175,,,,
move,1507,25,1723036309.2343323,,,,
move,1507,25,1723036309.2423306,,,,
move,1507,25,1723036309.2583356,,,,
move,1508,25,1723036309.2673488,,,,
move,1509,25,1723036309.2746234,,,,
move,1511,25,1723036309.282332,,,,
move,1512,24,1723036309.2913327,,,,
move,1517,23,1723036309.2983332,,,,
move,1519,23,1723036309.3065038,,,,
move,1524,23,1723036309.3226893,,,,
move,1529,22,1723036309.3304453,,,,
move,1530,22,1723036309.3394449,,,,
move,1534,19,1723036309.3467603,,,,
move,1536,18,1723036309.3544452,,,,
move,1543,17,1723036309.3624551,,,,
move,1549,15,1723036309.3704455,,,,
move,1556,13,1723036309.3787515,,,,
move,1562,12,1723036309.3864486,,,,
move,1565,12,1723036309.3945158,,,,
move,1568,11,1723036309.402452,,,,
move,1569,10,1723036309.4104497,,,,
move,1570,10,1723036309.4186425,,,,
move,1570,10,1723036309.4276407,,,,
move,1571,10,1723036309.4351573,,,,
move,1574,10,1723036309.451164,,,,
move,1574,10,1723036309.4591608,,,,
move,1576,12,1723036309.4671588,,,,
move,1578,13,1723036309.4748974,,,,
move,1580,15,1723036309.4830277,,,,
move,1582,17,1723036309.4907455,,,,
move,1583,17,1723036309.4988213,,,,
move,1583,18,1723036309.5145152,,,,
move,1583,18,1723036309.5306458,,,,
move,1582,18,1723036309.547137,,,,
move,1581,18,1723036309.5548704,,,,
move,1581,18,1723036309.5624619,,,,
move,1579,18,1723036309.570463,,,,
move,1579,18,1723036309.5784566,,,,
move,1578,18,1723036309.5867462,,,,
move,1577,18,1723036309.5944555,,,,
move,1575,18,1723036309.6024613,,,,
move,1574,18,1723036309.6104558,,,,
move,1570,18,1723036309.6185381,,,,
move,1568,18,1723036309.6265328,,,,
move,1567,18,1723036309.635058,,,,
move,1567,18,1723036309.6432555,,,,
move,1565,18,1723036309.659172,,,,
move,1565,18,1723036309.6747305,,,,
move,1564,18,1723036309.6827247,,,,
move,1563,18,1723036309.691193,,,,
move,1562,18,1723036309.6987236,,,,
move,1561,18,1723036309.7074902,,,,
move,1561,18,1723036309.7150598,,,,
move,1560,18,1723036309.7307277,,,,
click,1560,18,1723036309.7628977,Button.left,True,,
move,1560,18,1723036309.8030548,,,,
click,1560,18,1723036309.834897,Button.left,False,,
move,1559,18,1723036310.1109862,,,,
move,1558,18,1723036310.1548915,,,,
move,1558,18,1723036310.1670253,,,,
move,1557,18,1723036310.1750371,,,,
move,1556,18,1723036310.187223,,,,
move,1553,19,1723036310.2030325,,,,
move,1552,19,1723036310.211513,,,,
move,1549,19,1723036310.219508,,,,
