AOI,First_Timestamp,Last_Timestamp,X_Count,X_Mean,Y_Count,Y_Mean
Email Header,1723039125.9337146,1723039356.54961,1044,840.6915708812261,1044,402.26724137931035
Inbox and Folders,1723039125.565763,1723039302.0816507,60,358.75,60,405.81666666666666
Main Content,1723039129.4937334,1723039377.4536552,4162,911.0326765977895,4162,537.5136953387795
Other,1723039125.6299093,1723039302.1607697,181,394.0,181,282.9171270718232
Sender Email,1723039125.654475,1723039125.654475,1,667.0,1,258.0
