Timestamp,Type,Action,Key,Flight Time
2024-08-04 13:08:24.980976105,Key.enter,,release,0.0
2024-08-04 13:13:55.289825678,s,,press,330.308849573
2024-08-04 13:13:55.368223906,s,,release,0.078398228
2024-08-04 13:13:55.372116804,t,,press,0.003892898
2024-08-04 13:13:55.424364328,t,,release,0.052247524
2024-08-04 13:13:55.991747141,i,,press,0.567382813
2024-08-04 13:13:56.037204266,i,,release,0.045457125
2024-08-04 13:13:56.352857590,Key.backspace,,press,0.315653324
2024-08-04 13:13:56.410583019,Key.backspace,,release,0.057725429
2024-08-04 13:13:56.881175995,o,,press,0.470592976
2024-08-04 13:13:56.915601254,p,,press,0.034425259
2024-08-04 13:13:56.967148542,o,,release,0.051547288
2024-08-04 13:13:57.013560057,p,,release,0.046411515
2024-08-04 13:13:57.221088409,Key.enter,,press,0.207528352
