Timestamp,Type,Action,Key,Flight Time
2024-08-07 13:11:34.806885004,Key.enter,,release,0.0
2024-08-07 13:13:56.310586929,Key.shift,,press,141.503701925
2024-08-07 13:13:56.813154697,Key.shift,,press,0.502567768
2024-08-07 13:13:56.839153767,E,,press,0.02599907
2024-08-07 13:13:56.982393742,E,,release,0.143239975
2024-08-07 13:13:57.015905380,Key.shift,,release,0.033511638
2024-08-07 13:13:57.846205950,m,,press,0.83030057
2024-08-07 13:13:57.926464319,m,,release,0.080258369
2024-08-07 13:13:57.974483967,a,,press,0.048019648
2024-08-07 13:13:58.070998192,a,,release,0.096514225
2024-08-07 13:13:58.150731564,i,,press,0.079733372
2024-08-07 13:13:58.215255976,i,,release,0.064524412
2024-08-07 13:13:58.407071829,l,,press,0.191815853
2024-08-07 13:13:58.471071243,l,,release,0.063999414
2024-08-07 13:13:58.966794491,Key.space,,press,0.495723248
2024-08-07 13:13:59.062999725,Key.space,,release,0.096205234
2024-08-07 13:13:59.559870481,1,,press,0.496870756
2024-08-07 13:13:59.607018232,1,,release,0.047147751
2024-08-07 13:13:59.654968262,Key.space,,press,0.04795003
2024-08-07 13:13:59.767061710,Key.space,,release,0.112093448
2024-08-07 13:14:02.822910786,t,,press,3.055849076
2024-08-07 13:14:02.886523247,t,,release,0.063612461
2024-08-07 13:14:03.047085762,h,,press,0.160562515
2024-08-07 13:14:03.126710176,h,,release,0.079624414
2024-08-07 13:14:03.528087616,e,,press,0.40137744
2024-08-07 13:14:03.607661009,e,,release,0.079573393
2024-08-07 13:14:03.927391291,Key.backspace,,press,0.319730282
2024-08-07 13:14:04.006980896,Key.backspace,,release,0.079589605
2024-08-07 13:14:04.630828619,Key.backspace,,press,0.623847723
2024-08-07 13:14:04.695155144,Key.backspace,,release,0.064326525
2024-08-07 13:14:04.791311502,Key.backspace,,press,0.096156358
2024-08-07 13:14:04.855970621,Key.backspace,,release,0.064659119
2024-08-07 13:14:05.031077147,Key.shift,,press,0.175106526
2024-08-07 13:14:05.350927353,T,,press,0.319850206
2024-08-07 13:14:05.366970062,Key.shift,,release,0.016042709
2024-08-07 13:14:05.382743835,t,,release,0.015773773
2024-08-07 13:14:05.543148518,h,,press,0.160404683
2024-08-07 13:14:05.639243126,h,,release,0.096094608
2024-08-07 13:14:05.720065832,e,,press,0.080822706
